"TRANSACTION_INDEX","PHASE","TABLE_SLOT","KIND","META_BANK","PHYS_BANK_BEFORE","WIRE_ADDR_W","REG","WDATA","WIRE_ADDR_R","EXPECTED_RDATA","PHYS_BANK_AFTER","FSM_TICK_ACTIONS"
"219","INIT","195","TARGET_WRITE","09","09","60","50","AB","","","09","61"
"220","INIT","196","TARGET_WRITE","09","09","60","51","7D","","","09","61"
"221","INIT","197","TARGET_WRITE","09","09","60","52","C3","","","09","61"
"222","INIT","198","TARGET_WRITE","09","09","60","53","52","","","09","61"
"223","INIT","199","TARGET_WRITE","09","09","60","54","AB","","","09","61"
"224","INIT","200","TARGET_WRITE","09","09","60","55","7D","","","09","61"
"225","INIT","201","TARGET_WRITE","09","09","60","56","C3","","","09","61"
"226","INIT","202","TARGET_WRITE","09","09","60","57","52","","","09","61"
"227","INIT","203","TARGET_WRITE","09","09","60","58","AB","","","09","61"
"228","INIT","204","TARGET_WRITE","09","09","60","59","7D","","","09","61"
"229","INIT","205","TARGET_WRITE","09","09","60","5A","C3","","","09","61"
"230","INIT","206","TARGET_WRITE","09","09","60","5B","52","","","09","61"
"231","INIT","207","TARGET_WRITE","09","09","60","5C","AB","","","09","61"
"232","INIT","208","TARGET_WRITE","09","09","60","5D","7D","","","09","61"
"233","INIT","209","TARGET_WRITE","09","09","60","5E","C3","","","09","61"
"234","INIT","210","TARGET_WRITE","09","09","60","5F","52","","","09","61"
"235","INIT","211","SELECT_WRITE","00","09","60","FF","00","","","09","61"
"236","INIT","211","SELECT_VERIFY","00","09","60","FF","","61","00","00","83"
"237","INIT","211","TARGET_WRITE","00","00","60","FF","00","","","00","61"
"238","INIT","212","TARGET_WRITE","00","00","60","B8","00","","","00","61"
"239","INIT","213","TARGET_WRITE","00","00","60","FF","00","","","00","61"
"240","POST","","POST_SELECT_WRITE","00","00","60","FF","00","","","00","61"
"241","POST","","POST_READ","00","00","60","08","","61","","00","83"
"242","POST","","POST_READ","00","00","60","09","","61","","00","83"
"243","POST","","POST_READ","00","00","60","0A","","61","","00","83"
"244","POST","","POST_READ","00","00","60","0B","","61","","00","83"
"245","POST","","POST_READ","00","00","60","81","","61","","00","83"
"246","POST","","POST_READ","00","00","60","82","","61","","00","83"
"247","POST","","POST_READ","00","00","60","83","","61","","00","83"
"248","POST","","POST_READ","00","00","60","84","","61","","00","83"
"249","POST","","POST_READ","00","00","60","A8","","61","","00","83"
"250","POST","","POST_READ","00","00","60","E0","","61","","00","83"
"251","POST","","POST_READ","00","00","60","E8","","61","","00","83"
"252","POST","","POST_READ","00","00","60","E9","","61","","00","83"
"253","POST","","POST_READ","00","00","60","EA","","61","","00","83"
"254","POST","","POST_READ","00","00","60","EB","","61","","00","83"
"255","POST","","POST_READ","00","00","60","54","","61","","00","83"
"256","POST","","POST_READ","00","00","60","55","","61","","00","83"
"257","POST","","POST_SELECT_WRITE","01","00","60","FF","01","","","01","61"
"258","POST","","POST_READ","01","01","60","C2","","61","","01","83"
"259","POST","","POST_READ","01","01","60","C3","","61","","01","83"
"260","POST","","POST_READ","01","01","60","C4","","61","","01","83"
"261","POST","","POST_READ","01","01","60","C5","","61","","01","83"
"262","POST","","POST_READ","01","01","60","C8","","61","","01","83"
"263","POST","","POST_READ","01","01","60","C9","","61","","01","83"
"264","POST","","POST_READ","01","01","60","CA","","61","","01","83"
"265","POST","","POST_READ","01","01","60","CD","","61","","01","83"
"266","POST","","POST_SELECT_WRITE","05","01","60","FF","05","","","05","61"
"267","POST","","POST_READ","05","05","60","F0","","61","","05","83"
"268","POST","","POST_SELECT_WRITE","06","05","60","FF","06","","","06","61"
"269","POST","","POST_READ","06","06","60","F0","","61","","06","83"
"270","POST","","POST_SELECT_WRITE","07","06","60","FF","07","","","07","61"
"271","POST","","POST_READ","07","07","60","F0","","61","","07","83"
"272","POST","","POST_SELECT_WRITE","08","07","60","FF","08","","","08","61"
"273","POST","","POST_READ","08","08","60","F0","","61","","08","83"
"274","RESTORE","","RESTORE_WRITE","ORIGINAL_FF","08","60","FF","ORIGINAL_FF","","","ORIGINAL_FF","61"
