stage,scope,prior_r2r1_lut,cont1r3_lut,delta_lut,prior_lutram,cont1r3_lutram,delta_lutram,source
POST_OPT,whole_design,19574,21446,1872,1278,2286,1008,POST_OPT_UTILIZATION_HIER.rpt
POST_OPT,scan1_leaf,687,2017,1330,96,1104,1008,POST_OPT_UTILIZATION_HIER.rpt
POST_OPT,scan1_acq_wrapper,1162,2459,1297,96,1104,1008,POST_OPT_UTILIZATION_HIER.rpt
POST_OPT,axi_lite_host_bridge,1294,1791,497,0,0,0,POST_OPT_UTILIZATION_HIER.rpt
POST_OPT,nvp_fixed_master,188,197,9,0,0,0,POST_OPT_UTILIZATION_HIER.rpt
