event_ordinal,scan_index,entry_index,logical_target,register,execution_group_index,execution_group_name,current_bank,previous_execution_group_bank,group_selection_kind,position_in_group,contiguous_bank_run_start,position_in_contiguous_bank_run,successful_manifest_reads_preceding_in_group,context_authority,final_retry_result,exact_protocol_phase
1,7,71,Bank8/0xF2,0xF2,8,G5,0x08,0x07,BANK_VALUE_CHANGE,1,70,1,1,DERIVED_STATIC_CONTEXT_NOT_RUNTIME_BANK_READBACK,PASS_VALID_VALUE,NOT_ENCODED
2,16,52,Bank6/0xF5,0xF5,6,G3,0x06,0x05,BANK_VALUE_CHANGE,4,48,4,4,DERIVED_STATIC_CONTEXT_NOT_RUNTIME_BANK_READBACK,PASS_VALID_VALUE,NOT_ENCODED
3,23,52,Bank6/0xF5,0xF5,6,G3,0x06,0x05,BANK_VALUE_CHANGE,4,48,4,4,DERIVED_STATIC_CONTEXT_NOT_RUNTIME_BANK_READBACK,PASS_VALID_VALUE,NOT_ENCODED
4,28,5,Bank0/0xB0,0xB0,2,G0-LOCK,0x00,0x00,SAME_BANK_RESELECTION,1,0,5,1,DERIVED_STATIC_CONTEXT_NOT_RUNTIME_BANK_READBACK,PASS_VALID_VALUE,NOT_ENCODED
5,36,62,Bank7/0xF4,0xF4,7,G4,0x07,0x06,BANK_VALUE_CHANGE,3,59,3,3,DERIVED_STATIC_CONTEXT_NOT_RUNTIME_BANK_READBACK,PASS_VALID_VALUE,NOT_ENCODED
6,38,38,Bank5/0xF2,0xF2,5,G2,0x05,0x01,BANK_VALUE_CHANGE,1,37,1,1,DERIVED_STATIC_CONTEXT_NOT_RUNTIME_BANK_READBACK,PASS_VALID_VALUE,NOT_ENCODED
7,38,59,Bank7/0xF0,0xF0,7,G4,0x07,0x06,BANK_VALUE_CHANGE,0,59,0,0,DERIVED_STATIC_CONTEXT_NOT_RUNTIME_BANK_READBACK,PASS_VALID_VALUE,NOT_ENCODED
8,42,63,Bank7/0xF5,0xF5,7,G4,0x07,0x06,BANK_VALUE_CHANGE,4,59,4,4,DERIVED_STATIC_CONTEXT_NOT_RUNTIME_BANK_READBACK,PASS_VALID_VALUE,NOT_ENCODED
9,58,62,Bank7/0xF4,0xF4,7,G4,0x07,0x06,BANK_VALUE_CHANGE,3,59,3,3,DERIVED_STATIC_CONTEXT_NOT_RUNTIME_BANK_READBACK,PASS_VALID_VALUE,NOT_ENCODED
10,64,5,Bank0/0xB0,0xB0,2,G0-LOCK,0x00,0x00,SAME_BANK_RESELECTION,1,0,5,1,DERIVED_STATIC_CONTEXT_NOT_RUNTIME_BANK_READBACK,PASS_VALID_VALUE,NOT_ENCODED
