"FILE","EXPECTED_SHA256","OBSERVED_SHA256","RESULT"
"ACCEPTED_PHASE3_REGISTER_CONTRACT.csv","8540600871E5D045C016BF4DC1FF4D4750B240731063130D3B0D5C471F2174B6","8540600871E5D045C016BF4DC1FF4D4750B240731063130D3B0D5C471F2174B6","PASS"
"docs\v41\phase3\AXI_LITE_REGISTER_MAP.md","984B3A89E182AFAD9513FD1F6269539C26150B8685E3295D28A12200CAB06047","984B3A89E182AFAD9513FD1F6269539C26150B8685E3295D28A12200CAB06047","PASS"
"host\v41\phase3_xdma_control_validate.sh","1AC7AE2B1CAD5652DEEEA95667829F22947B4F0ABC17A5ECCCC232E85C0B3119","1AC7AE2B1CAD5652DEEEA95667829F22947B4F0ABC17A5ECCCC232E85C0B3119","PASS"
"host\v41\xdma_axil_regtest.c","E939F32DC82417C4AA595087F25F2E279A00E408F15050D1EEC42988CC6E4735","E939F32DC82417C4AA595087F25F2E279A00E408F15050D1EEC42988CC6E4735","PASS"
"rtl\v41\control_status_regs.sv","849DC315A243267941D196BC8039426F4C99893DDFBD9BD9F4E21EA5741C392F","849DC315A243267941D196BC8039426F4C99893DDFBD9BD9F4E21EA5741C392F","PASS"
