capture,exact_completions,record_integrity,active_frame_integrity,bounded_route_specific_vbi,complete_frame_1920x1080,overflow,malformed_preceding,source_drop,pending_aio_final,physical_quiescence,scanner_overlap_proof,result
reference,2500/2500,PASS,PASS,PASS,PASS,0,0,0,0,PASS,NOT_APPLICABLE,PASS
overlap,2500/2500,PASS,PASS,PASS,PASS,0,0,0,0,PASS,PASS_SCAN_STARTED_BEFORE_STREAM_ENABLE_AND_DONE_AFTER_STREAM_ENABLE,PASS
post,2500/2500,PASS,PASS,PASS,PASS,0,0,0,0,PASS,NOT_APPLICABLE,PASS
