phase,scan,generation,channel,a8_bookend_stable,novid,lock_tuple,F0,F2,F3,F4,F5,private_metrics,raw_snapshot_sha256
BASELINE,1,258,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,46C60E5C21EC51EC21EBAE29A259F5E4E88B3D1F47BBB6D70482E8992B20A140
BASELINE,1,258,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,46C60E5C21EC51EC21EBAE29A259F5E4E88B3D1F47BBB6D70482E8992B20A140
BASELINE,1,258,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,46C60E5C21EC51EC21EBAE29A259F5E4E88B3D1F47BBB6D70482E8992B20A140
BASELINE,1,258,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,46C60E5C21EC51EC21EBAE29A259F5E4E88B3D1F47BBB6D70482E8992B20A140
BASELINE,2,259,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,4329BEF701760B8AFF7C64501293A0F0347AEFBBA467D17BE80167DECAE5BC91
BASELINE,2,259,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,4329BEF701760B8AFF7C64501293A0F0347AEFBBA467D17BE80167DECAE5BC91
BASELINE,2,259,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,4329BEF701760B8AFF7C64501293A0F0347AEFBBA467D17BE80167DECAE5BC91
BASELINE,2,259,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,4329BEF701760B8AFF7C64501293A0F0347AEFBBA467D17BE80167DECAE5BC91
BASELINE,3,260,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,F2F221494006231DE43CFB9224EE1DF2F0B19E67869B889599FCD993E5FB1BEA
BASELINE,3,260,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,F2F221494006231DE43CFB9224EE1DF2F0B19E67869B889599FCD993E5FB1BEA
BASELINE,3,260,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,F2F221494006231DE43CFB9224EE1DF2F0B19E67869B889599FCD993E5FB1BEA
BASELINE,3,260,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,F2F221494006231DE43CFB9224EE1DF2F0B19E67869B889599FCD993E5FB1BEA
BASELINE,4,261,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,06E5F99AB73672605661115D6228D7904E81653CA48818EE6DD00B8A863D4650
BASELINE,4,261,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,06E5F99AB73672605661115D6228D7904E81653CA48818EE6DD00B8A863D4650
BASELINE,4,261,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,06E5F99AB73672605661115D6228D7904E81653CA48818EE6DD00B8A863D4650
BASELINE,4,261,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,06E5F99AB73672605661115D6228D7904E81653CA48818EE6DD00B8A863D4650
BASELINE,5,262,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,44A4BE7B5F8596141AF66A64DC4B14A7F00BC8445D07448A27810025F8E41DB9
BASELINE,5,262,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,44A4BE7B5F8596141AF66A64DC4B14A7F00BC8445D07448A27810025F8E41DB9
BASELINE,5,262,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,44A4BE7B5F8596141AF66A64DC4B14A7F00BC8445D07448A27810025F8E41DB9
BASELINE,5,262,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,44A4BE7B5F8596141AF66A64DC4B14A7F00BC8445D07448A27810025F8E41DB9
CONNECTED,1,264,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0xC0,0x03,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,6679D3AA5A38E5612783A2AE94DAD8164948F5EFD3EBC786E17D94023F49E44B
CONNECTED,1,264,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,6679D3AA5A38E5612783A2AE94DAD8164948F5EFD3EBC786E17D94023F49E44B
CONNECTED,1,264,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,6679D3AA5A38E5612783A2AE94DAD8164948F5EFD3EBC786E17D94023F49E44B
CONNECTED,1,264,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,6679D3AA5A38E5612783A2AE94DAD8164948F5EFD3EBC786E17D94023F49E44B
CONNECTED,2,265,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0xC0,0x03,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,0DA81CDEEF7E6E9F3C5B104FA9441463AD5D560E96D396D1FB8EF89E1E4E5B34
CONNECTED,2,265,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,0DA81CDEEF7E6E9F3C5B104FA9441463AD5D560E96D396D1FB8EF89E1E4E5B34
CONNECTED,2,265,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,0DA81CDEEF7E6E9F3C5B104FA9441463AD5D560E96D396D1FB8EF89E1E4E5B34
CONNECTED,2,265,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,0DA81CDEEF7E6E9F3C5B104FA9441463AD5D560E96D396D1FB8EF89E1E4E5B34
CONNECTED,3,266,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0xC0,0x03,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,65826F6F46AA2E93CB87D1B99FE1B2B8CE14DFFFFACA893F524624E3BD3AAC6E
CONNECTED,3,266,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,65826F6F46AA2E93CB87D1B99FE1B2B8CE14DFFFFACA893F524624E3BD3AAC6E
CONNECTED,3,266,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,65826F6F46AA2E93CB87D1B99FE1B2B8CE14DFFFFACA893F524624E3BD3AAC6E
CONNECTED,3,266,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,65826F6F46AA2E93CB87D1B99FE1B2B8CE14DFFFFACA893F524624E3BD3AAC6E
CONNECTED,4,267,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0xC0,0x03,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,983FDB56D7FF3F2604460D50A8BB9FACC56C2392AF2CC60096189D7AD86D3227
CONNECTED,4,267,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,983FDB56D7FF3F2604460D50A8BB9FACC56C2392AF2CC60096189D7AD86D3227
CONNECTED,4,267,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,983FDB56D7FF3F2604460D50A8BB9FACC56C2392AF2CC60096189D7AD86D3227
CONNECTED,4,267,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,983FDB56D7FF3F2604460D50A8BB9FACC56C2392AF2CC60096189D7AD86D3227
