channel,role,baseline_detector,connected_detector,return_detector,connected_difference_repeated,returned_to_baseline,credible_response
CH1,PRIMARY_RESPONSE_CANDIDATE,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,F0=0xFF F2=0xC0 F3=0x03 F4=0x00 F5=0x00,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,10,TRUE,TRUE
CH2,NONRESPONDING_CONTROL_ARM,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,10,TRUE,FALSE
CH3,NONRESPONDING_CONTROL_ARM,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,10,TRUE,FALSE
CH4,NONRESPONDING_CONTROL_ARM,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,10,TRUE,FALSE
