scan,generation,entry_count,bank_group_count,transaction_count,chip_id,revision_id,chip_id_revision_valid,prohibited_reads,nack,timeout,bank_mismatch,incomplete_publication,snapshot_mutation_before_ack,a8_pre,a8_post,a8_changed,raw_sha256,decoded_sha256,raw_path,decoded_path,result
189,190,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,BDBE4C9D58820C9D713BFFB64078C5393F77DAD880A433B480F563C2D744DA61,944668382F18CAC279BF4494A8D636D23A5A21C2EBE4224DFB70CD82D1E8613F,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0189.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0189.json,PASS
190,191,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,C49C76AFA4E503871CB31E62749FDEECDA1E6C0A8B1E5273D329A6BE587773CD,F29F2AE4EEB7CEFDF834D082D18BF07B52265FD06A6BB560B86B3B1CCF6A66BD,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0190.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0190.json,PASS
191,192,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,D17E76B0897859B7EED27D4FEA1447608FE55C474572528F3CB02C1D81E5916B,102C3FB6868CAA343F7F76B9D83E2854EDB26366587140A698342356838E5BCD,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0191.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0191.json,PASS
192,193,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,46297F6723CB6964E2554EFA3B8FB1CD090365701B57B4C0910EBB11F7F5AE23,A54D48FD096E35986D52C3F82984BA03E9E71F128F6C0A56FBD9557EDD73006C,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0192.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0192.json,PASS
193,194,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,CB50FAA1F1917D046790F5A97CF3EAB2C672361EFAA3B4188D233A1EC73E6308,0E1D1D5844FF6020836B3B938CD90DC8E433881A044CD32FA606C228200B0128,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0193.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0193.json,PASS
194,195,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,B6228B05CB9A36EA5D68EC96707CAF0EE723D851D7B1EA89FDE7F330DB7209CF,A89EC13595D5760EF00B2A8491233B4649DE251FD97960255F4D288D22C10B33,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0194.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0194.json,PASS
195,196,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,6D18A46F6E36D676C1AC1FAF1F9AD205CA3CBD7801D6F533B516711F92F40F49,DF6FED1240D0DFA4BBB6F550FC8C3B0FD7AF79036B47F539998A90E1FA11C175,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0195.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0195.json,PASS
196,197,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,44A1689C55174F0253869881914B669185782D522BFE44795BFF3CE52EC5D588,7B8E3186F6EA7CF81CED5B62BC35D6090BC82A26D70F615C13AEF3F0E74C636C,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0196.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0196.json,PASS
197,198,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,8110C5A50B0DF2D7EEB176DE67B846F8EE899FF40C784E51176DA032DFCAA1C5,C2D76AAD847375EA68F5693E673D60E86FB201C0ECF71907DD2558A1A759F4C8,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0197.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0197.json,PASS
198,199,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,7670E48158501DD249E420E026367BA6199F45B9EAEC7993A924DCF2053C29D8,CA4824F07E1C5D9CA48514FBE7BC0F04A645E48D28FA684C5918BAE799FE6A19,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0198.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0198.json,PASS
199,200,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,2A776DD523FD0DF8994EE24FEF8DD6619774501F44B7B43B77A3A440593FF9FE,B456CDF1E179D91984F773111268A8B710CCA4DB43538455C1D3CB29CFFEF4C3,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0199.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0199.json,PASS
200,201,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,462891D44AD7BCC85F335F72EFE594517018F6979297AD9CA342AF63EF3ACEBD,C45F79BBEA50931981C61E66FC755B714436F89AD54A2A8B0A884D2D065CF481,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0200.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0200.json,PASS
201,202,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,41324BD7F08DFA5C4488AC1D78A456EA4871B200B8BFC925E23EC7C93D471553,BA4C4E37F9487EC1C4A0DC886B5E0B44F75554B6FBFD7E26DD95EC0008BF42D1,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0201.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0201.json,PASS
202,203,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,86A8E5435DE22F6D26C82CC854FAF25B76C8E5437886F73F5596756634364B8D,CD529DFBC4E7E23FDB38FE7C454D5652CA1CF20751700BF51B9366D9D10BF725,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0202.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0202.json,PASS
203,204,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,50F2FD804C950E632E0CCCDECEC6DDE6848AA958BC08C908F815E042EB9FD338,525E43A00DE98C33C9C25070A712131DB76E27DF6715D4AE087AD3C012F3165F,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0203.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0203.json,PASS
204,205,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,7D0D49FC73A21EF70F5DA396D6E27827EB6EBEF123DC75E171E20282D6E3B3A6,80F6D0BFCDF37568984445CA2A9F6BD204F3EE3023DC04395A3A8EE8A8D42C72,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0204.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0204.json,PASS
205,206,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,1BFFD9D90C0341A39903C83C894A6EC4EEDF1263EBD18B9BC5FA20E1F8955BD7,65C595B2200D7983EE5B00D21A7FE8D4461893ED0D14E65125CAF51987790D03,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0205.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0205.json,PASS
206,207,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,148E6EC0BE1A98B702CB24FE4B32C00E57D5F9FECD009E8A63605483A8BCF20C,F4BC8E7E7E79599C073491CF3E0243EE5F5B137295FBC79B8C7B09FE9EC2E498,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0206.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0206.json,PASS
207,208,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,6C93858EC7BA2CF74C7DFF69F7A84FE6A27ADD5F1E4BDA9ABA9DD2025FA7D552,F6BEEE840F4010539C23DA2E0D3BC1FAF35EE6D951AFE7E18475FC24D038D842,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0207.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0207.json,PASS
208,209,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,7A997927739922A02CB33E03175B272D97FA168C54A3BC90CFAD7F25711144E6,FA0C113389CEEE3C136310AAE107185EDF3516B082258A97A1C3859E9BEC9D91,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0208.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0208.json,PASS
209,210,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,BD34EA3425587D1CEF0F480911FBA96923BA7A434EDD6E7538F82858B4DDBEDB,6E60D12B720FDDD6458C983DF750824D5B9BB22A1428269FE72E35589ED136D5,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0209.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0209.json,PASS
