phase,channel,bookend_stable_snapshots,agreeing_detector_snapshots,agreeing_novid_snapshots,novid,detector_tuple,three_sample_requirement
BASELINE,CH1,5,5,5,1,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,PASS
CONNECTED,CH1,10,10,10,1,F0=0xFF F2=0xC0 F3=0x03 F4=0x00 F5=0x00,PASS
RETURN_CONTROL,CH1,5,5,5,1,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,PASS
BASELINE,CH2,5,5,5,1,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,PASS
CONNECTED,CH2,10,10,10,1,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,PASS
RETURN_CONTROL,CH2,5,5,5,1,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,PASS
BASELINE,CH3,5,5,5,1,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,PASS
CONNECTED,CH3,10,10,10,1,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,PASS
RETURN_CONTROL,CH3,5,5,5,1,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,PASS
BASELINE,CH4,5,5,5,1,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,PASS
CONNECTED,CH4,10,10,10,1,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,PASS
RETURN_CONTROL,CH4,5,5,5,1,F0=0xFF F2=0x00 F3=0x00 F4=0x00 F5=0x00,PASS
