field,decimal,hex
magic,1279543361,0x4C444841
record_version,16641,0x00004101
reset_epoch,3,0x00000003
source_frame_sequence,1747685,0x001AAAE5
source_line_sequence,650,0x0000028A
source_capture_sequence,1887498843,0x7080F25B
payload_length,3840,0x00000F00
flags,52,0x00000034
active_logical_channel_count,1,0x00000001
source_slot_generation_and_slot,256,0x00000100
source_malformed_count_snapshot,36701343,0x0230049F
source_dropped_count_snapshot,25,0x00000019
logical_channel_id,0,0x00000000
physical_input_id,0,0x00000000
channel_attempt_sequence,0,0x00000000
global_stream_sequence,0,0x00000000
