Timestamp,Phase,Node,BDF,Offset,Value
1788796748284517949,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x382C,READ,0x00006A00,PASS
1788796748284606713,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3830,READ,0x00000000,PASS
1788796748284683495,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3834,READ,0xFFFFFFFF,PASS
1788796748284759245,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3850,READ,0x00000000,PASS
1788796748284836318,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3854,READ,0x00000003,PASS
1788796748284915504,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3858,READ,0xFFFFFFFF,PASS
1788796748284995442,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3838,READ,0x00000003,PASS
1788796748285075129,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x384C,READ,0x00000002,PASS
1788796748285141762,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3848,READ,0x00000002,PASS
1788796748338160224,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,WRITE,0x00000001,PASS
1788796748343332957,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000001,PASS
1788796748343457156,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,WRITE,0x00000000,PASS
1788796748375968468,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796748376068633,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796748376127332,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
1788796748473997989,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796748474092083,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x00000474,PASS
1788796748474148657,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
1788796748576144150,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796748576236871,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796748576291943,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
1788796748676272080,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796748676364551,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796748676419963,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
1788796748776645083,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796748776733857,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796748776789220,T3T4_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
1788796974453696973,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796974453785627,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796974453849646,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
1788796974453900670,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3840,READ,0x00000003,PASS
1788796974453948448,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3838,READ,0x00000003,PASS
1788796974453996277,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3838,READ,0x00000003,PASS
1788796974454042673,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x384C,READ,0x00000002,PASS
1788796974454088387,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796974454191408,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3844,WRITE,0x00000001,PASS
1788796974463016622,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3848,READ,0x0000000E,PASS
1788796974463179974,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3814,READ,0x000000E2,PASS
1788796974463277605,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3818,READ,0x0000009A,PASS
1788796974463363283,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x381C,READ,0x0000009A,PASS
1788796974463443802,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3820,READ,0x00000048,PASS
1788796974463520834,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3824,READ,0x00000047,PASS
1788796974463615018,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3828,READ,0x00000015,PASS
1788796974463665913,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x382C,READ,0x00013400,PASS
1788796974463707990,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3830,READ,0x00000000,PASS
1788796974463751250,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3834,READ,0x00000064,PASS
1788796974463792166,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3850,READ,0x00000000,PASS
1788796974463833052,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3854,READ,0x00000003,PASS
1788796974463874348,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3858,READ,0x00000093,PASS
1788796974463916496,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3838,READ,0x00000003,PASS
1788796974463958393,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x384C,READ,0x00000003,PASS
1788796974463999329,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3848,READ,0x0000000E,PASS
1788796974464042719,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796974464084126,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796974464125412,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
1788796974464166748,POST_FAILURE_PARENT,/dev/xdma0_user,0000:01:00.0,0x3840,READ,0x00000003,PASS
1788796996192704120,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796996218345231,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796996218412896,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796996218463330,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
1788796996323196304,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796996323289417,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796996323346081,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
1788796996423639979,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796996423731417,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796996423785788,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
1788796996523839048,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796996523931870,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796996523986331,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
1788796996624291358,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x380C,READ,0x00000000,PASS
1788796996624383869,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x3810,READ,0x000004F4,PASS
1788796996624438660,CLEANUP_PARENT,/dev/xdma0_user,0000:01:00.0,0x383C,READ,0x00000007,PASS
