Family,Required_ns,Actual_Worst_ns,Slack_ns,Result,Source_Count,Destination_Count
slot,6.000,5.939,0.093,PASS,2,17
generation,6.000,5.308,0.724,PASS,24,17
epoch,6.000,5.423,0.609,PASS,32,17
