Family,Constraint_Type,Required_ns,Worst_Actual_ns,Slack_ns,Result,Runtime_s,Notes
"RELEASE_SLOT0_NORMAL_STATE_TRANSITION","MAX_DELAY_DATAPATH_ONLY","6.000","5.467","0.563","PASS","63.236","56 userclk1 sources to 3 nvp_vclk1 destinations; worst release_generation_axi_reg[0][3]/C to slot_state_source_reg[0][1]/D; 8 logic levels"
"RELEASE_SLOT0_MISMATCH_CONTAINMENT","MAX_DELAY_DATAPATH_ONLY","6.000","5.554","0.478","PASS","0.117","56 userclk1 sources to 4 nvp_vclk1 destinations; worst release_generation_axi_reg[0][3]/C to source_ownership_fatal_deferred_reg/D; 8 logic levels"
"RELEASE_SLOT0_RESET_OVERLAP_ACCOUNTING","MAX_DELAY_DATAPATH_ONLY","6.000","4.191","1.839","PASS","0.111","56 userclk1 sources to 3 nvp_vclk1 destinations; worst release_epoch_axi_reg[0][5]/C to reset_abandoned_hold_source_reg[1]/D; 6 logic levels"
