SIGNAL,RAW_NET,ENDPOINT,CLASSIFICATION
SCL,nvp_scl_i,CONTROL_STATUS_REGS/local_rsp_rdata_reg[6]/D,OPTIONAL_DIAGNOSTIC_OUTSIDE_SEQUENCE
SCL,nvp_scl_i,NVP_AUTOINIT/u_sequence/scl_sync_r_reg[0]/D,FIRST_SYNCHRONIZER_STAGE
SCL,nvp_scl_i,nvp_diag_axi_reg[38]/D,OPTIONAL_DIAGNOSTIC_OUTSIDE_SEQUENCE
