SIGNAL,RAW_NET,ENDPOINT,CLASSIFICATION
SDA,nvp_sda_i,CONTROL_STATUS_REGS/local_rsp_rdata_reg[7]/D,OPTIONAL_DIAGNOSTIC_OUTSIDE_SEQUENCE
SDA,nvp_sda_i,NVP_AUTOINIT/u_sequence/sda_sync_r_reg[0]/D,FIRST_SYNCHRONIZER_STAGE
SDA,nvp_sda_i,nvp_diag_axi_reg[39]/D,OPTIONAL_DIAGNOSTIC_OUTSIDE_SEQUENCE
