Checkpoint,Epoch,ErrorStatus,LastErrorCause,RecordsAttempted,RecordsCommitted,RecordsStreamed,RecordsDropped,OverflowCount,DiscontinuityCount,Timestamp
S0,3,0x00000007,0x00000003,226,154,154,72,71,21,1788814407763489122
S1,4,0x00000007,0x00000003,226,154,154,72,71,21,1788814407763638538
S2,4,0x00000000,0x00000003,226,154,154,72,71,21,1788814407763831625
S3,4,0x00000007,0x00000003,390,317,317,73,72,22,1788814696716256035
