Metric,Value
DISCONTINUITY_COUNTER_DELTA,1
OVERFLOW_COUNTER_DELTA,1
DROPPED_COUNTER_DELTA,1
DISCONTINUITY_FLAG_RECORDS,N/A
OVERFLOW_OCCURRED_FLAG_RECORDS,N/A
GLOBAL_SEQUENCE_GAPS,N/A
ATTEMPT_SEQUENCE_GAPS,N/A
SOURCE_PROGRESSION_BREAKS,N/A
STREAM_CONTINUITY,NOT_REACHED
