Metric,Value
PRIMARY_AIO_RETURNED_COMPLETE_RECORDS,157
PERSISTED_PRIMARY_RECORDS,0
RECORD_INTEGRITY_FAILURES,N/A
STRUCTURAL_HEADER_FAILURES,N/A
PAYLOAD_GEOMETRY_FAILURES,N/A
PADDING_ERRORS,N/A
RECORD_PATH_INTEGRITY,NOT_REACHED
