TimestampNs,Operation,Offset,Value,Purpose,Result
1789085821948621278,READ,0x3C00,0x4E565034,IDENTITY,PASS
1789085821948626878,READ,0x3C04,0x00010002,IDENTITY,PASS
1789085821948630886,READ,0x3C08,0x00000BFF,IDENTITY_CAPABILITIES,PASS
1789085821948635404,READ,0x3C24,0x000000C8,RUNTIME_CONTRACT,PASS
1789085821948638730,READ,0x3C28,0x00000064,RUNTIME_CONTRACT,PASS
1789085821948641655,READ,0x3C2C,0x00000005,RUNTIME_CONTRACT,PASS
1789085821948644621,READ,0x3C30,0x000007D0,RUNTIME_CONTRACT,PASS
1789085821948647536,READ,0x3C68,0x00000010,RUNTIME_CONTRACT,PASS
1789085821948654359,WRITE,0x3C0C,0x00000001,DIAG_CLEAR,PASS
1789085821948660400,READ,0x3C10,0x000000A0,DIAG_CLEAR_WAIT,PASS
1789085821948666812,READ,0x3C18,0x00000000,DIAG_CLEAR_STATE,PASS
1789085821948669978,READ,0x3C14,0x00000000,DIAG_CLEAR_ERROR,PASS
1789085821948672913,READ,0x3C54,0x00000000,DIAG_CLEAR_I2C,PASS
1789085821948675929,READ,0x3C58,0x00000000,DIAG_CLEAR_I2C,PASS
1789085821948678864,READ,0x3C70,0x00000000,DIAG_CLEAR_I2C,PASS
1789085821948681840,READ,0x3C50,0x00000000,PREPARE_C0,PASS
1789085821948689534,READ,0x3C50,0x00000000,PREPARE_A_START_COUNT,PASS
1789085821948692219,WRITE,0x3C0C,0x00000002,PREPARE_A,PASS
1789085821948696777,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821948700434,READ,0x3C18,0x00000001,PREPARE_A_WAIT_STATE,PASS
1789085821948704201,READ,0x3C50,0x00000001,PREPARE_A_WAIT_COUNT,PASS
1789085821950774478,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821950781211,READ,0x3C18,0x00000001,PREPARE_A_WAIT_STATE,PASS
1789085821950784747,READ,0x3C50,0x00000002,PREPARE_A_WAIT_COUNT,PASS
1789085821952856938,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821952863791,READ,0x3C18,0x00000001,PREPARE_A_WAIT_STATE,PASS
1789085821952867327,READ,0x3C50,0x00000003,PREPARE_A_WAIT_COUNT,PASS
1789085821954929039,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821954933096,READ,0x3C18,0x00000001,PREPARE_A_WAIT_STATE,PASS
1789085821954936052,READ,0x3C50,0x00000005,PREPARE_A_WAIT_COUNT,PASS
1789085821957000829,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821957005598,READ,0x3C18,0x00000001,PREPARE_A_WAIT_STATE,PASS
1789085821957009284,READ,0x3C50,0x00000006,PREPARE_A_WAIT_COUNT,PASS
1789085821959076877,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821959092195,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821959096533,READ,0x3C50,0x00000008,PREPARE_A_WAIT_COUNT,PASS
1789085821961125814,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821961134661,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821961138518,READ,0x3C50,0x00000009,PREPARE_A_WAIT_COUNT,PASS
1789085821963206802,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821963213744,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821963218263,READ,0x3C50,0x0000000A,PREPARE_A_WAIT_COUNT,PASS
1789085821965283751,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821965289011,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821965292788,READ,0x3C50,0x0000000C,PREPARE_A_WAIT_COUNT,PASS
1789085821967357996,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821967362755,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821967366421,READ,0x3C50,0x0000000D,PREPARE_A_WAIT_COUNT,PASS
1789085821969430828,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821969435176,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821969438722,READ,0x3C50,0x0000000E,PREPARE_A_WAIT_COUNT,PASS
1789085821971502448,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821971506886,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821971510903,READ,0x3C50,0x0000000F,PREPARE_A_WAIT_COUNT,PASS
1789085821973580038,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821973584607,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821973588374,READ,0x3C50,0x00000011,PREPARE_A_WAIT_COUNT,PASS
1789085821975651939,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821975658841,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821975662989,READ,0x3C50,0x00000012,PREPARE_A_WAIT_COUNT,PASS
1789085821977726874,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821977730962,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821977734509,READ,0x3C50,0x00000013,PREPARE_A_WAIT_COUNT,PASS
1789085821979797993,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821979802091,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821979806820,READ,0x3C50,0x00000014,PREPARE_A_WAIT_COUNT,PASS
1789085821981872258,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821981877137,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821981880944,READ,0x3C50,0x00000016,PREPARE_A_WAIT_COUNT,PASS
1789085821983944839,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821983949127,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821983952684,READ,0x3C50,0x00000017,PREPARE_A_WAIT_COUNT,PASS
1789085821986015928,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821986023041,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821986026638,READ,0x3C50,0x00000018,PREPARE_A_WAIT_COUNT,PASS
1789085821988090413,READ,0x3C10,0x00000041,PREPARE_A_WAIT_STATUS,PASS
1789085821988097046,READ,0x3C18,0x00000004,PREPARE_A_WAIT_STATE,PASS
1789085821988101674,READ,0x3C50,0x00000019,PREPARE_A_WAIT_COUNT,PASS
1789085821990161893,READ,0x3C10,0x000000A2,PREPARE_A_WAIT_STATUS,PASS
1789085821990168775,READ,0x3C18,0x00000000,PREPARE_A_WAIT_STATE,PASS
1789085821990172502,READ,0x3C50,0x0000001A,PREPARE_A_WAIT_COUNT,PASS
1789085821990181309,READ,0x3C44,0x00000000,PREPARE_A_READ_1,PASS
1789085821990185416,READ,0x3C48,0x00000088,PREPARE_A_READ_1,PASS
1789085821990189223,READ,0x3C4C,0x00000088,PREPARE_A_READ_1,PASS
1789085821990192990,READ,0x3C50,0x0000001A,PREPARE_A_READ_1,PASS
1789085821990196537,READ,0x3C54,0x00000000,PREPARE_A_READ_1,PASS
1789085821990200053,READ,0x3C58,0x00000000,PREPARE_A_READ_1,PASS
1789085821990203580,READ,0x3C5C,0x00000000,PREPARE_A_READ_1,PASS
1789085821990207076,READ,0x3C60,0x00000000,PREPARE_A_READ_1,PASS
1789085821990210553,READ,0x3C6C,0x00000001,PREPARE_A_READ_1,PASS
1789085821990214229,READ,0x3C70,0x00000000,PREPARE_A_READ_1,PASS
1789085821990217926,READ,0x3C10,0x000000A2,PREPARE_A_READ_1,PASS
1789085821990221723,READ,0x3C18,0x00000000,PREPARE_A_READ_1,PASS
1789085821990228275,READ,0x3C14,0x00000000,PREPARE_A_READ_1,PASS
1789085821990232203,READ,0x3C08,0x00000BFF,PREPARE_A_READ_1,PASS
