sample,monotonic_ns,control,transport_status,diag_status,diag_state,diag_error,restore_status,route,bg78,bg79,original_route,original_bg78,original_bg79,nack,timeout,recovery,accepted
1,457191193688,0,1220,178,22,8,3,0,136,136,0,136,136,0,0,0,True
2,457301312063,0,1220,178,22,8,3,0,136,136,0,136,136,0,0,0,True
3,457411444393,0,1220,178,22,8,3,0,136,136,0,136,136,0,0,0,True
4,457521895390,0,1220,178,22,8,3,0,136,136,0,136,136,0,0,0,True
5,457632322670,0,1220,178,22,8,3,0,136,136,0,136,136,0,0,0,True
