PreviousRecordIndex,Line0RecordIndex,PreviousFrame,Line0Frame,Line0Line,Line0Flags,Line1Follows,Line1Flags,CaptureSequenceDelta,ExpectedCaptureSequenceDelta,AttemptSequenceDelta,GlobalSequenceDelta,MalformedDelta,DroppedDelta,Result
987,988,7559,7560,0,0x00000021,True,0x00000020,22,22,1,1,0,0,PASS
2067,2068,7560,7561,0,0x00000021,True,0x00000020,22,22,1,1,0,0,PASS
