Event,PreviousFrame,PreviousLine,NextFrame,NextLine,MalformedDelta,DroppedDelta,NextFlags,Classification
B1,202797,1079,202798,1,21,1,0x00000034,BT656_FRAME_BOUNDARY_EVENT
B2,202798,1079,202799,1,21,1,0x00000034,BT656_FRAME_BOUNDARY_EVENT
TOTAL,,,,,42,2,,DETERMINISTIC_TWO_BOUNDARY_SUM
