TimestampNs,Operation,Offset,Value,Purpose,Result
1788871794776377645,INTENT,0x380C,0x00000004,CLEANUP_ONLY_RESET_STREAM_STATE,INTENT
1788871794776380831,WRITE,0x380C,0x00000004,CLEANUP_ONLY_RESET_STREAM_STATE,PASS
