RecordIndex,FrameSequence,LineSequence,CaptureSequence,AttemptSequence,GlobalSequence,Flags,SourceMalformedSnapshot,SourceDroppedSnapshot,PreviousFrame,PreviousLine,PreviousAttemptSequence,PreviousMalformedSnapshot,PreviousDroppedSnapshot,NextFrame,NextLine,MalformedDeltaFromPrevious,DroppedDeltaFromPrevious,EventClassification
0,202797,503,218212462,0,0,0x00000024,4258695,807970,,,,,,202797,504,,,INITIAL_TRANSITION_FRAGMENT
441,202797,946,218212903,443,441,0x0000002C,4258695,807972,202797,943,440,4258695,807970,202797,947,0,2,PRIMARY_TRANSIENT_OVERFLOW_EVENT
575,202798,1,218213038,578,575,0x00000034,4258716,807973,202797,1079,576,4258695,807972,202798,2,21,1,BT656_FRAME_BOUNDARY_EVENT
1654,202799,1,218214118,1658,1654,0x00000034,4258737,807974,202798,1079,1656,4258716,807973,202799,2,21,1,BT656_FRAME_BOUNDARY_EVENT
