TimestampNs,Sample,Control,Status,Accepted,Consecutive,SpanMs
1788871794776392632,1,0x00000000,0x000000F4,True,1,0.0
1788871794876490549,2,0x00000000,0x000000F4,True,2,100.097
1788871794976621337,3,0x00000000,0x000000F4,True,3,200.229
1788871795076700449,4,0x00000000,0x000000F4,True,4,300.308
1788871795176805158,5,0x00000000,0x00000074,True,5,400.413
