Mode,PerFormatFunction,SourceLine,ProductDisposition
NVP6134_VI_720H,nvp6134_setchn_720h,1122,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_960H,nvp6134_setchn_960h,1123,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_1280H,nvp6134_setchn_1280h,1124,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_1440H,nvp6134_setchn_1440h,1125,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_1920H,nvp6134_setchn_1920h,1126,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_960H2EX,nvp6134_setchn_3840h,1127,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_720P_2530,nvp6134_setchn_ahd_720p,1128,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_HDEX,nvp6134_setchn_ahd_720pex,1129,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_EXC_720P,nvp6134_setchn_exc_720p,1130,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_EXC_HDEX,nvp6134_setchn_exc_720pex,1131,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_EXT_720PA,nvp6134_setchn_exta_720p,1132,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_EXT_HDAEX,nvp6134_setchn_exta_720pex,1133,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_EXT_720PB,nvp6134_setchn_extb_720p,1134,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_EXT_HDBEX,nvp6134_setchn_extb_720pex,1135,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_720P_5060,nvp6134_setchn_ahd_720p5060,1136,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_EXC_720PRT,nvp6134_setchn_exc_720p5060,1137,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_EXT_720PRT,nvp6134_setchn_ext_720p5060,1138,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_1080P_NRT,nvp6134_setchn_ahd_1080p_NRT,1139,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_1080P_2530,nvp6134_setchn_ahd_1080p2530,1140,ELIGIBLE_FOR_ACQ1
NVP6134_VI_EXC_1080P,nvp6134_setchn_exc_1080p2530,1141,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_EXT_1080P,nvp6134_setchn_ext_1080p2530,1142,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_3M_NRT,nvp6134_setchn_ahd_3MNRT,1143,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_EXT_3M_NRT,nvp6134_setchn_ext_3MNRT,1144,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_3M,nvp6134_setchn_ahd_3M,1145,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_4M_NRT,nvp6134_setchn_ahd_QHD_NRT,1146,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_4M,nvp6134_setchn_ahd_QHD,1147,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_5M_NRT,nvp6134_setchn_ahd_5MNRT,1148,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_5M_20P,nvp6134_setchn_ahd_5M_20p,1149,REPORT_ONLY_NO_MODE_WRITE
NVP6134_VI_EXT_5M_NRT,nvp6134_setchn_ext_5MNRT,1150,REPORT_ONLY_NO_MODE_WRITE
