order,phase,operation,bank_expression,register_expression,value_mask_expression,delay_ms,ch1_bank,ch1_register,ch1_value,ch3_bank,ch3_register,ch3_value,source_file,source_function,source_line,authority_class,nvp6134c_compatibility,note
117,AHD1080P25,WRITE,0x00,0x81+ch%4,vfmt==PAL?0x03:0x02,0,0x00,0x81,0x03,0x00,0x83,0x03,video.c,nvp6134_setchn_ahd_1080p2530,3481,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
118,AHD1080P25,WRITE,0x00,0x85+ch%4,0x00,0,0x00,0x85,0x00,0x00,0x87,0x00,video.c,nvp6134_setchn_ahd_1080p2530,3482,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
119,AHD1080P25,BANK_SELECT,0x00,0xFF,0x05+ch%4,0,0x00,0xFF,0x05,0x00,0xFF,0x07,video.c,nvp6134_setchn_ahd_1080p2530,3484,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
120,AHD1080P25,WRITE,0x05+ch%4,0x47,vfmt==PAL?0x04:0xEE,0,0x05,0x47,0x04,0x07,0x47,0x04,video.c,nvp6134_setchn_ahd_1080p2530,3485,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
121,AHD1080P25,WRITE,0x05+ch%4,0x50,vfmt==PAL?0x84:0xC6,0,0x05,0x50,0x84,0x07,0x50,0x84,video.c,nvp6134_setchn_ahd_1080p2530,3486,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
122,AHD1080P25,BANK_SELECT,0x05+ch%4,0xFF,0x00,0,0x05,0xFF,0x00,0x07,0xFF,0x00,video.c,nvp6134_setchn_ahd_1080p2530,3489,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
123,AHD1080P25,WRITE,0x00,0x30+ch%4,vfmt==PAL?0x10:0x10,0,0x00,0x30,0x10,0x00,0x32,0x10,video.c,nvp6134_setchn_ahd_1080p2530,3490,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
124,AHD1080P25,WRITE,0x00,0x58+ch%4,vfmt==PAL?0x7D:0x89,0,0x00,0x58,0x7D,0x00,0x5A,0x7D,video.c,nvp6134_setchn_ahd_1080p2530,3491,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
125,AHD1080P25,WRITE,0x00,0x5C+ch%4,vfmt==PAL?0x9E:0x9E,0,0x00,0x5C,0x9E,0x00,0x5E,0x9E,video.c,nvp6134_setchn_ahd_1080p2530,3492,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
126,AHD1080P25,WRITE,0x00,0x64+ch%4,vfmt==PAL?0x80:0xC0,0,0x00,0x64,0x80,0x00,0x66,0x80,video.c,nvp6134_setchn_ahd_1080p2530,3493,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
127,AHD1080P25,WRITE,0x00,0x89+ch%4,vfmt==PAL?0x10:0x10,0,0x00,0x89,0x10,0x00,0x8B,0x10,video.c,nvp6134_setchn_ahd_1080p2530,3494,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
128,AHD1080P25,WRITE,0x00,(0x8e)+ch%4,vfmt==PAL?0x00:0x00,0,0x00,0x8E,0x00,0x00,0x90,0x00,video.c,nvp6134_setchn_ahd_1080p2530,3495,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
129,AHD1080P25,WRITE,0x00,0xA0+ch%4,vfmt==PAL?0x09:0x09,0,0x00,0xA0,0x09,0x00,0xA2,0x09,video.c,nvp6134_setchn_ahd_1080p2530,3496,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
130,AHD1080P25,WRITE,0x00,0xA4+ch%4,0x00,0,0x00,0xA4,0x00,0x00,0xA6,0x00,video.c,nvp6134_setchn_ahd_1080p2530,3497,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
131,AHD1080P25,BANK_SELECT,0x00,0xff,0x09,0,0x00,0xFF,0x09,0x00,0xFF,0x09,video.c,nvp6134_setchn_ahd_1080p2530,3499,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
132,AHD1080P25,WRITE,0x09,0x97+((ch%4)*0x20),vfmt==PAL?0x00:0x00,0,0x09,0x97,0x00,0x09,0xD7,0x00,video.c,nvp6134_setchn_ahd_1080p2530,3500,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
133,AHD1080P25,WRITE,0x09,0x98+((ch%4)*0x20),vfmt==PAL?0x00:0x00,0,0x09,0x98,0x00,0x09,0xD8,0x00,video.c,nvp6134_setchn_ahd_1080p2530,3501,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
134,AHD1080P25,WRITE,0x09,0x99+((ch%4)*0x20),vfmt==PAL?0x00:0x00,0,0x09,0x99,0x00,0x09,0xD9,0x00,video.c,nvp6134_setchn_ahd_1080p2530,3502,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
135,AHD1080P25,BANK_SELECT,0x09,0xFF,0x05+ch%4,0,0x09,0xFF,0x05,0x09,0xFF,0x07,video.c,nvp6134_setchn_ahd_1080p2530,3505,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
136,AHD1080P25,WRITE,0x05+ch%4,0x1b,vfmt==PAL?0x08:0x08,0,0x05,0x1B,0x08,0x07,0x1B,0x08,video.c,nvp6134_setchn_ahd_1080p2530,3506,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
137,AHD1080P25,WRITE,0x05+ch%4,0x20,vfmt==PAL?0x90:0x90,0,0x05,0x20,0x90,0x07,0x20,0x90,video.c,nvp6134_setchn_ahd_1080p2530,3507,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
138,AHD1080P25,WRITE,0x05+ch%4,0x24,vfmt==PAL?0x10:0x20,0,0x05,0x24,0x10,0x07,0x24,0x10,video.c,nvp6134_setchn_ahd_1080p2530,3508,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
139,AHD1080P25,WRITE,0x05+ch%4,0x25,vfmt==PAL?0xDC:0xDC,0,0x05,0x25,0xDC,0x07,0x25,0xDC,video.c,nvp6134_setchn_ahd_1080p2530,3509,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
140,AHD1080P25,WRITE,0x05+ch%4,0x26,0xF0,0,0x05,0x26,0xF0,0x07,0x26,0xF0,video.c,nvp6134_setchn_ahd_1080p2530,3510,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
141,AHD1080P25,WRITE,0x05+ch%4,0x29,0x00,0,0x05,0x29,0x00,0x07,0x29,0x00,video.c,nvp6134_setchn_ahd_1080p2530,3511,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
142,AHD1080P25,WRITE,0x05+ch%4,0x2a,0x52,0,0x05,0x2A,0x52,0x07,0x2A,0x52,video.c,nvp6134_setchn_ahd_1080p2530,3512,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
143,AHD1080P25,WRITE,0x05+ch%4,0x58,0x03,0,0x05,0x58,0x03,0x07,0x58,0x03,video.c,nvp6134_setchn_ahd_1080p2530,3513,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
144,AHD1080P25,WRITE,0x05+ch%4,0x5f,0x00,0,0x05,0x5F,0x00,0x07,0x5F,0x00,video.c,nvp6134_setchn_ahd_1080p2530,3515,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
145,AHD1080P25,WRITE,0x05+ch%4,0x75,0x00,0,0x05,0x75,0x00,0x07,0x75,0x00,video.c,nvp6134_setchn_ahd_1080p2530,3516,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
146,AHD1080P25,WRITE,0x05+ch%4,0x84,0x01,0,0x05,0x84,0x01,0x07,0x84,0x01,video.c,nvp6134_setchn_ahd_1080p2530,3517,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
147,AHD1080P25,WRITE,0x05+ch%4,0x86,0x20,0,0x05,0x86,0x20,0x07,0x86,0x20,video.c,nvp6134_setchn_ahd_1080p2530,3518,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
148,AHD1080P25,WRITE,0x05+ch%4,0x90,vfmt==PAL?0x01:0x01,0,0x05,0x90,0x01,0x07,0x90,0x01,video.c,nvp6134_setchn_ahd_1080p2530,3519,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
149,AHD1080P25,WRITE,0x05+ch%4,0x9b,0x80,0,0x05,0x9B,0x80,0x07,0x9B,0x80,video.c,nvp6134_setchn_ahd_1080p2530,3520,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
150,AHD1080P25,WRITE,0x05+ch%4,0xb5,0x00,0,0x05,0xB5,0x00,0x07,0xB5,0x00,video.c,nvp6134_setchn_ahd_1080p2530,3521,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
151,AHD1080P25,WRITE,0x05+ch%4,0xb7,vfmt==PAL?0xff:0xff,0,0x05,0xB7,0xFF,0x07,0xB7,0xFF,video.c,nvp6134_setchn_ahd_1080p2530,3522,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
152,AHD1080P25,WRITE,0x05+ch%4,0xb8,0x38,0,0x05,0xB8,0x38,0x07,0xB8,0x38,video.c,nvp6134_setchn_ahd_1080p2530,3523,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
153,AHD1080P25,WRITE,0x05+ch%4,0xbb,vfmt==PAL?0x04:0x04,0,0x05,0xBB,0x04,0x07,0xBB,0x04,video.c,nvp6134_setchn_ahd_1080p2530,3524,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
154,AHD1080P25,WRITE,0x05+ch%4,0xd1,0x20,0,0x05,0xD1,0x20,0x07,0xD1,0x20,video.c,nvp6134_setchn_ahd_1080p2530,3525,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
155,AHD1080P25,BANK_SELECT,0x05+ch%4,0xff,0x09,0,0x05,0xFF,0x09,0x07,0xFF,0x09,video.c,nvp6134_setchn_ahd_1080p2530,3528,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
156,AHD1080P25,WRITE,0x09,0x50+(ch%4)*4,vfmt==PAL?0xAB:0x2C,0,0x09,0x50,0xAB,0x09,0x58,0xAB,video.c,nvp6134_setchn_ahd_1080p2530,3529,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
157,AHD1080P25,WRITE,0x09,0x51+(ch%4)*4,vfmt==PAL?0x7D:0xAF,0,0x09,0x51,0x7D,0x09,0x59,0x7D,video.c,nvp6134_setchn_ahd_1080p2530,3530,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
158,AHD1080P25,WRITE,0x09,0x52+(ch%4)*4,vfmt==PAL?0xC3:0xCA,0,0x09,0x52,0xC3,0x09,0x5A,0xC3,video.c,nvp6134_setchn_ahd_1080p2530,3531,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
159,AHD1080P25,WRITE,0x09,0x53+(ch%4)*4,vfmt==PAL?0x52:0x52,0,0x09,0x53,0x52,0x09,0x5B,0x52,video.c,nvp6134_setchn_ahd_1080p2530,3532,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
160,STATE,STATE_ASSIGN,0x09,ch_mode_status[CH_LOCAL],NVP6134_VI_1080P_2530,0,0x09,ch_mode_status[CH_LOCAL],NVP6134_VI_1080P_2530,0x09,ch_mode_status[CH_LOCAL],NVP6134_VI_1080P_2530,video.c,nvp6134_set_chnmode,1159,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
161,STATE,STATE_ASSIGN,0x09,ch_vfmt_status[CH_LOCAL],PAL,0,0x09,ch_vfmt_status[CH_LOCAL],0x01,0x09,ch_vfmt_status[CH_LOCAL],0x01,video.c,nvp6134_set_chnmode,1160,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
162,ACP_COMMON,BANK_SELECT,0x09,0xFF,0x01,0,0x09,0xFF,0x01,0x09,0xFF,0x01,acp.c,acp_each_setting,452,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
163,ACP_COMMON,WRITE,0x01,0xA8+ch%4,(ch%4)<2?0x01:0x02,0,0x01,0xA8,0x01,0x01,0xAA,0x02,acp.c,acp_each_setting,453,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
164,ACP_COMMON,WRITE,0x01,0xBC+ch%4,(ch%2)==0?0x07:0x0F,0,0x01,0xBC,0x07,0x01,0xBE,0x07,acp.c,acp_each_setting,454,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
165,ACP_COMMON,BANK_SELECT,0x01,0xFF,0x05+ch%4,0,0x01,0xFF,0x05,0x01,0xFF,0x07,acp.c,acp_each_setting,456,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
166,ACP_COMMON,WRITE,0x05+ch%4,0x2F,0x00,0,0x05,0x2F,0x00,0x07,0x2F,0x00,acp.c,acp_each_setting,457,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
167,ACP_COMMON,WRITE,0x05+ch%4,0x30,0x00,0,0x05,0x30,0x00,0x07,0x30,0x00,acp.c,acp_each_setting,458,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
168,ACP_COMMON,WRITE,0x05+ch%4,0x31,0x43,0,0x05,0x31,0x43,0x07,0x31,0x43,acp.c,acp_each_setting,459,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
169,ACP_COMMON,WRITE,0x05+ch%4,0x32,0xa2,0,0x05,0x32,0xA2,0x07,0x32,0xA2,acp.c,acp_each_setting,460,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
170,ACP_COMMON,WRITE,0x05+ch%4,0x7C,0x11,0,0x05,0x7C,0x11,0x07,0x7C,0x11,acp.c,acp_each_setting,461,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
171,ACP_COMMON,WRITE,0x05+ch%4,0x7D,0x80,0,0x05,0x7D,0x80,0x07,0x7D,0x80,acp.c,acp_each_setting,462,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
172,ACP_BAUD,BANK_SELECT,0x05+ch%4,0xFF,0x05+ch%4,0,0x05,0xFF,0x05,0x07,0xFF,0x07,acp.c,acp_set_baudrate,233,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
173,ACP_BAUD,WRITE,0x05+ch%4,0x7C,0x11,0,0x05,0x7C,0x11,0x07,0x7C,0x11,acp.c,acp_set_baudrate,234,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
174,ACP_BAUD,BANK_SELECT,0x05+ch%4,0xFF,0x03+((ch%4)/2),0,0x05,0xFF,0x03,0x07,0xFF,0x04,acp.c,acp_set_baudrate,235,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
175,ACP_BAUD,WRITE,0x03+((ch%4)/2),ACP_AHD2_FHD_BAUD+((ch%2)*0x80),0x27,0,0x03,0x00,0x27,0x04,0x00,0x27,acp.c,acp_set_baudrate,236,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
176,ACP_BAUD,WRITE,0x03+((ch%4)/2),ACP_AHD2_FHD_LINE+((ch%2)*0x80),ch_vfmt_status[ch]==PAL? 0x0E:0x0E,0,0x03,0x03,0x0E,0x04,0x03,0x0E,acp.c,acp_set_baudrate,237,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
177,ACP_BAUD,WRITE,0x03+((ch%4)/2),(0x0D)+((ch%2)*0x80),ch_vfmt_status[ch]==PAL? 0xB4:0xBB,0,0x03,0x0D,0xB4,0x04,0x0D,0xB4,acp.c,acp_set_baudrate,238,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
178,ACP_BAUD,WRITE,0x03+((ch%4)/2),(0x0E)+((ch%2)*0x80),ch_vfmt_status[ch]==PAL? 0x00:0x00,0,0x03,0x0E,0x00,0x04,0x0E,0x00,acp.c,acp_set_baudrate,239,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
179,ACP_BAUD,WRITE,0x03+((ch%4)/2),ACP_AHD2_FHD_LINES+((ch%2)*0x80),0x03,0,0x03,0x05,0x03,0x04,0x05,0x03,acp.c,acp_set_baudrate,240,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
180,ACP_BAUD,WRITE,0x03+((ch%4)/2),ACP_AHD2_FHD_BYTE+((ch%2)*0x80),0x03,0,0x03,0x0A,0x03,0x04,0x0A,0x03,acp.c,acp_set_baudrate,241,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
181,ACP_BAUD,WRITE,0x03+((ch%4)/2),ACP_AHD2_FHD_MODE+((ch%2)*0x80),0x10,0,0x03,0x0B,0x10,0x04,0x0B,0x10,acp.c,acp_set_baudrate,242,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
182,ACP_BAUD,WRITE,0x03+((ch%4)/2),ACP_AHD2_PEL_EVEN+((ch%2)*0x80),0x00,0,0x03,0x2F,0x00,0x04,0x2F,0x00,acp.c,acp_set_baudrate,243,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
183,ACP_RX,BANK_SELECT,0x03+((ch%4)/2),0xFF,0x03+((ch%4)/2),0,0x03,0xFF,0x03,0x04,0xFF,0x04,acp.c,acp_each_setting,468,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
184,ACP_RX,WRITE,0x03+((ch%4)/2),0x60+((ch%2)*0x80),0x55,0,0x03,0x60,0x55,0x04,0x60,0x55,acp.c,acp_each_setting,470,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
185,ACP_RX,WRITE,0x03+((ch%4)/2),0x0b+((ch%2)*0x80),0x10,0,0x03,0x0B,0x10,0x04,0x0B,0x10,acp.c,acp_each_setting,472,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
186,ACP_RX,WRITE,0x03+((ch%4)/2),0x66+((ch%2)*0x80),0x80,0,0x03,0x66,0x80,0x04,0x66,0x80,acp.c,acp_each_setting,481,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
187,ACP_RX,WRITE,0x03+((ch%4)/2),0x62+((ch%2)*0x80),0x06,0,0x03,0x62,0x06,0x04,0x62,0x06,acp.c,acp_each_setting,491,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
188,ACP_RX,WRITE,0x03+((ch%4)/2),0x68+((ch%2)*0x80),0x70,0,0x03,0x68,0x70,0x04,0x68,0x70,acp.c,acp_each_setting,492,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
189,ACP_RX,WRITE,0x03+((ch%4)/2),0x63+((ch%2)*0x80),0x01,0,0x03,0x63,0x01,0x04,0x63,0x01,acp.c,acp_each_setting,537,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
190,ACP_RX,WRITE,0x03+((ch%4)/2),0x64+((ch%2)*0x80),0x00,0,0x03,0x64,0x00,0x04,0x64,0x00,acp.c,acp_each_setting,538,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
191,ACP_RX,WRITE,0x03+((ch%4)/2),0x67+((ch%2)*0x80),0x01,0,0x03,0x67,0x01,0x04,0x67,0x01,acp.c,acp_each_setting,539,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
192,ACP_RX_CLEAR,BANK_SELECT,0x03+((ch%4)/2),0xFF,0x03+((ch%4)/2),0,0x03,0xFF,0x03,0x04,0xFF,0x04,acp.c,acp_reg_rx_clear,121,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
193,ACP_RX_CLEAR,WRITE,0x03+((ch%4)/2),ACP_CLR_REG+((ch%2)*0x80),0x01,0,0x03,0x3A,0x01,0x04,0x3A,0x01,acp.c,acp_reg_rx_clear,122,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
194,ACP_RX_CLEAR,DELAY,0x03+((ch%4)/2),N/A,N/A,10,0x03,N/A,N/A,0x04,N/A,N/A,acp.c,acp_reg_rx_clear,123,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
195,ACP_RX_CLEAR,WRITE,0x03+((ch%4)/2),ACP_CLR_REG+((ch%2)*0x80),0x00,0,0x03,0x3A,0x00,0x04,0x3A,0x00,acp.c,acp_reg_rx_clear,124,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
196,ACP_RX_CLEAR,DELAY,0x03+((ch%4)/2),N/A,N/A,200,0x03,N/A,N/A,0x04,N/A,N/A,acp.c,acp_reg_rx_clear,125,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
197,EQ_INIT,BANK_SELECT,0x03+((ch%4)/2),0xFF,0x05+ch%4,0,0x03,0xFF,0x05,0x04,0xFF,0x07,eq.c,eq_init_each_format,81,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
198,EQ_INIT,WRITE,0x05+ch%4,0x59,0x11,0,0x05,0x59,0x11,0x07,0x59,0x11,eq.c,eq_init_each_format,82,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
199,EQ_INIT,BANK_SELECT,0x05+ch%4,0xFF,0x05+ch%4,0,0x05,0xFF,0x05,0x07,0xFF,0x07,eq.c,eq_init_each_format,132,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
200,EQ_INIT,WRITE,0x05+ch%4,0xC0,0x17,0,0x05,0xC0,0x17,0x07,0xC0,0x17,eq.c,eq_init_each_format,133,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
201,EQ_INIT,WRITE,0x05+ch%4,0xC1,0x13,0,0x05,0xC1,0x13,0x07,0xC1,0x13,eq.c,eq_init_each_format,134,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
202,EQ_INIT,WRITE,0x05+ch%4,0xC8,0x04,0,0x05,0xC8,0x04,0x07,0xC8,0x04,eq.c,eq_init_each_format,135,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
203,EQ_INIT,BANK_SELECT,0x05+ch%4,0xFF,ch%4<2?0x0A:0x0B,0,0x05,0xFF,0x0A,0x07,0xFF,0x0B,eq.c,eq_init_each_format,137,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
204,EQ_INIT,WRITE,ch%4<2?0x0A:0x0B,ch%2==0?0x74:0xF4,0x02,0,0x0A,0x74,0x02,0x0B,0x74,0x02,eq.c,eq_init_each_format,138,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
205,EQ_INIT,STATE_ASSIGN,ch%4<2?0x0A:0x0B,s_eq.ch_stage[CH_LOCAL],0,0,0x0A,s_eq.ch_stage[CH_LOCAL],0x00,0x0B,s_eq.ch_stage[CH_LOCAL],0x00,eq.c,eq_init_each_format,84,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
206,POST_MODE,BANK_SELECT,ch%4<2?0x0A:0x0B,0xff,0x09,0,0x0A,0xFF,0x09,0x0B,0xFF,0x09,video.c,nvp6134_set_chnmode,1171,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
207,POST_MODE,WRITE,0x09,0x40+ch%4,0x61,0,0x09,0x40,0x61,0x09,0x42,0x61,video.c,nvp6134_set_chnmode,1172,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
208,POST_MODE,DELAY,0x09,N/A,N/A,35,0x09,N/A,N/A,0x09,N/A,N/A,video.c,nvp6134_set_chnmode,1173,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
209,POST_MODE,WRITE,0x09,0x40+ch%4,0x00,0,0x09,0x40,0x00,0x09,0x42,0x00,video.c,nvp6134_set_chnmode,1177,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
210,POST_MODE,BANK_SELECT,0x09,0xFF,0x00,0,0x09,0xFF,0x00,0x09,0xFF,0x00,video.c,nvp6134_set_chnmode,1180,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
211,POST_MODE,WRITE,0x00,0x00+ch%4,0x00,0,0x00,0x00,0x00,0x00,0x02,0x00,video.c,nvp6134_set_chnmode,1181,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
