"GlobalRow","SectionRow","ViolationName","Rule","Severity","SourceClock","DestinationClock","CDCType","Depth","Exception","PhysicalSource","DestinationEndpoint","Description"
"1","1","CDC-9#1","CDC-9","Info","input port clock","clk_125mhz_mux_x0y0","No Common Primary Clock","2","False Path","sys_rst_n","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/reset_n_reg1_reg/CLR","Asynchronous reset synchronized with ASYNC_REG property"
"2","1","CDC-9#2","CDC-9","Info","input port clock","clk_250mhz_mux_x0y0","No Common Primary Clock","2","False Path","sys_rst_n","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/reset_n_reg1_reg/CLR","Asynchronous reset synchronized with ASYNC_REG property"
"3","1","CDC-13#1","CDC-13","Critical","clk_125mhz_mux_x0y0","clk_250mhz_x0y0","User Ignored","0","False Path","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_sel_reg/C","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_i1_bufgctrl.pclk_i1/S1","1-bit CDC path on a non-FD primitive"
"4","1","CDC-13#2","CDC-13","Critical","clk_250mhz_mux_x0y0","clk_250mhz_x0y0","User Ignored","0","False Path","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_sel_reg/C","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_i1_bufgctrl.pclk_i1/S1","1-bit CDC path on a non-FD primitive"
"5","1","CDC-6#1","CDC-6","Warning","userclk1","nvp_vclk1","No Common Primary Clock","2","False Path","CAPTURE_SUBSYSTEM/BAR_TARGET/release_toggle_pcie_reg[1:0]/C","CAPTURE_SUBSYSTEM/BAR_TARGET/release_sync1_reg[1:0]/D","Multi-bit synchronized with ASYNC_REG property"
"6","2","CDC-3#1","CDC-3","Info","userclk1","nvp_vclk1","No Common Primary Clock","2","False Path","CAPTURE_SUBSYSTEM/MAILBOX/cfg_request_toggle_pcie_reg/C","CAPTURE_SUBSYSTEM/MAILBOX/cfg_req_sync1_nvp_reg/D","1-bit synchronized with ASYNC_REG property"
"7","3","CDC-15#1","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[1]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_abort_reg/D","Clock enable controlled CDC structure detected"
"8","4","CDC-15#2","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[0]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_arm_reg/D","Clock enable controlled CDC structure detected"
"9","5","CDC-15#3","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[42]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[0]/D","Clock enable controlled CDC structure detected"
"10","6","CDC-15#4","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[43]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[1]/D","Clock enable controlled CDC structure detected"
"11","7","CDC-15#5","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[44]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[2]/D","Clock enable controlled CDC structure detected"
"12","8","CDC-15#6","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[45]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[3]/D","Clock enable controlled CDC structure detected"
"13","9","CDC-15#7","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[46]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[4]/D","Clock enable controlled CDC structure detected"
"14","10","CDC-15#8","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[47]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[5]/D","Clock enable controlled CDC structure detected"
"15","11","CDC-15#9","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[48]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[6]/D","Clock enable controlled CDC structure detected"
"16","12","CDC-15#10","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[49]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[7]/D","Clock enable controlled CDC structure detected"
"17","13","CDC-15#11","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[50]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[8]/D","Clock enable controlled CDC structure detected"
"18","14","CDC-15#12","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[51]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[9]/D","Clock enable controlled CDC structure detected"
"19","15","CDC-15#13","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[52]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[10]/D","Clock enable controlled CDC structure detected"
"20","16","CDC-15#14","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[53]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[11]/D","Clock enable controlled CDC structure detected"
"21","17","CDC-15#15","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[54]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[12]/D","Clock enable controlled CDC structure detected"
"22","18","CDC-15#16","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[55]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[13]/D","Clock enable controlled CDC structure detected"
"23","19","CDC-15#17","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[56]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[14]/D","Clock enable controlled CDC structure detected"
"24","20","CDC-15#18","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[57]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[15]/D","Clock enable controlled CDC structure detected"
"25","21","CDC-15#19","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[58]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[16]/D","Clock enable controlled CDC structure detected"
"26","22","CDC-15#20","CDC-15","Warning","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[59]/C","CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[17]/D","Clock enable controlled CDC structure detected"
