"Rule","Severity","Exception","Count"
"CDC-1","Critical","Max Delay Datapath Only","423"
"CDC-3","Info","False Path","30"
"CDC-6","Warning","False Path","4"
"CDC-6","Warning","Max Delay Datapath Only","9"
"CDC-9","Info","False Path","6"
"CDC-10","Critical","False Path","2"
"CDC-13","Critical","False Path","2"
"CDC-15","Warning","Max Delay Datapath Only","861"
