"Rule","Severity","SummaryCount","ParsedCount"
"CDC-1","Critical","423","423"
"CDC-3","Info","30","30"
"CDC-6","Warning","13","13"
"CDC-9","Info","6","6"
"CDC-10","Critical","2","2"
"CDC-13","Critical","2","2"
"CDC-15","Warning","861","861"
