"ObjectIndex","ObjectName","Rule","Ordinal","Severity","Property","Value"
"1","CDC-1#1","CDC-1","1","Critical","CDC_TYPE","No Common Primary Clock"
"1","CDC-1#1","CDC-1","1","Critical","CHECK","CDC-1"
"1","CDC-1#1","CDC-1","1","Critical","CLASS","cdc_violation"
"1","CDC-1#1","CDC-1","1","Critical","DEPTH","0"
"1","CDC-1#1","CDC-1","1","Critical","DESCRIPTION","1-bit unknown CDC circuitry"
"1","CDC-1#1","CDC-1","1","Critical","ENDPOINT_CLOCK","nvp_vclk1"
"1","CDC-1#1","CDC-1","1","Critical","ENDPOINT_PIN","G2B_ONECH_C2H/enable_applied_source_reg/D"
"1","CDC-1#1","CDC-1","1","Critical","EXCEPTION","Max Delay Datapath Only"
"1","CDC-1#1","CDC-1","1","Critical","EXCEPTION_ID","EMPTY"
"1","CDC-1#1","CDC-1","1","Critical","FULLNAME","1-bit unknown CDC circuitry"
"1","CDC-1#1","CDC-1","1","Critical","ID","1"
"1","CDC-1#1","CDC-1","1","Critical","IS_WAIVED","0"
"1","CDC-1#1","CDC-1","1","Critical","IS_WAIVED_INTERNAL","0"
"1","CDC-1#1","CDC-1","1","Critical","NAME","CDC-1#1"
"1","CDC-1#1","CDC-1","1","Critical","SEVERITY","Critical"
"1","CDC-1#1","CDC-1","1","Critical","STARTPOINT_CLOCK","userclk1"
"1","CDC-1#1","CDC-1","1","Critical","STARTPOINT_PIN","G2B_ONECH_C2H/axis_slot_reg[1]/C"
"1","CDC-1#1","CDC-1","1","Critical","SYNCHRONIZER","EMPTY"
"1","CDC-1#1","CDC-1","1","Critical","WAIVER","EMPTY"
"2","CDC-1#2","CDC-1","2","Critical","CDC_TYPE","No Common Primary Clock"
"2","CDC-1#2","CDC-1","2","Critical","CHECK","CDC-1"
"2","CDC-1#2","CDC-1","2","Critical","CLASS","cdc_violation"
"2","CDC-1#2","CDC-1","2","Critical","DEPTH","0"
"2","CDC-1#2","CDC-1","2","Critical","DESCRIPTION","1-bit unknown CDC circuitry"
"2","CDC-1#2","CDC-1","2","Critical","ENDPOINT_CLOCK","nvp_vclk1"
"2","CDC-1#2","CDC-1","2","Critical","ENDPOINT_PIN","G2B_ONECH_C2H/own_ack_toggle_source_reg/D"
"2","CDC-1#2","CDC-1","2","Critical","EXCEPTION","Max Delay Datapath Only"
"2","CDC-1#2","CDC-1","2","Critical","EXCEPTION_ID","EMPTY"
"2","CDC-1#2","CDC-1","2","Critical","FULLNAME","1-bit unknown CDC circuitry"
"2","CDC-1#2","CDC-1","2","Critical","ID","2"
"2","CDC-1#2","CDC-1","2","Critical","IS_WAIVED","0"
"2","CDC-1#2","CDC-1","2","Critical","IS_WAIVED_INTERNAL","0"
"2","CDC-1#2","CDC-1","2","Critical","NAME","CDC-1#2"
"2","CDC-1#2","CDC-1","2","Critical","SEVERITY","Critical"
"2","CDC-1#2","CDC-1","2","Critical","STARTPOINT_CLOCK","userclk1"
"2","CDC-1#2","CDC-1","2","Critical","STARTPOINT_PIN","G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C"
"2","CDC-1#2","CDC-1","2","Critical","SYNCHRONIZER","EMPTY"
"2","CDC-1#2","CDC-1","2","Critical","WAIVER","EMPTY"
"3","CDC-1#3","CDC-1","3","Critical","CDC_TYPE","No Common Primary Clock"
"3","CDC-1#3","CDC-1","3","Critical","CHECK","CDC-1"
"3","CDC-1#3","CDC-1","3","Critical","CLASS","cdc_violation"
"3","CDC-1#3","CDC-1","3","Critical","DEPTH","0"
"3","CDC-1#3","CDC-1","3","Critical","DESCRIPTION","1-bit unknown CDC circuitry"
"3","CDC-1#3","CDC-1","3","Critical","ENDPOINT_CLOCK","nvp_vclk1"
"3","CDC-1#3","CDC-1","3","Critical","ENDPOINT_PIN","G2B_ONECH_C2H/own_ok_hold_source_reg/D"
"3","CDC-1#3","CDC-1","3","Critical","EXCEPTION","Max Delay Datapath Only"
"3","CDC-1#3","CDC-1","3","Critical","EXCEPTION_ID","EMPTY"
"3","CDC-1#3","CDC-1","3","Critical","FULLNAME","1-bit unknown CDC circuitry"
"3","CDC-1#3","CDC-1","3","Critical","ID","3"
"3","CDC-1#3","CDC-1","3","Critical","IS_WAIVED","0"
"3","CDC-1#3","CDC-1","3","Critical","IS_WAIVED_INTERNAL","0"
"3","CDC-1#3","CDC-1","3","Critical","NAME","CDC-1#3"
"3","CDC-1#3","CDC-1","3","Critical","SEVERITY","Critical"
"3","CDC-1#3","CDC-1","3","Critical","STARTPOINT_CLOCK","userclk1"
"3","CDC-1#3","CDC-1","3","Critical","STARTPOINT_PIN","G2B_ONECH_C2H/axis_slot_reg[1]/C"
"3","CDC-1#3","CDC-1","3","Critical","SYNCHRONIZER","EMPTY"
"3","CDC-1#3","CDC-1","3","Critical","WAIVER","EMPTY"
"4","CDC-1#4","CDC-1","4","Critical","CDC_TYPE","No Common Primary Clock"
"4","CDC-1#4","CDC-1","4","Critical","CHECK","CDC-1"
"4","CDC-1#4","CDC-1","4","Critical","CLASS","cdc_violation"
"4","CDC-1#4","CDC-1","4","Critical","DEPTH","0"
"4","CDC-1#4","CDC-1","4","Critical","DESCRIPTION","1-bit unknown CDC circuitry"
"4","CDC-1#4","CDC-1","4","Critical","ENDPOINT_CLOCK","nvp_vclk1"
"4","CDC-1#4","CDC-1","4","Critical","ENDPOINT_PIN","G2B_ONECH_C2H/own_req_seen_source_reg/D"
"4","CDC-1#4","CDC-1","4","Critical","EXCEPTION","Max Delay Datapath Only"
"4","CDC-1#4","CDC-1","4","Critical","EXCEPTION_ID","EMPTY"
"4","CDC-1#4","CDC-1","4","Critical","FULLNAME","1-bit unknown CDC circuitry"
"4","CDC-1#4","CDC-1","4","Critical","ID","4"
"4","CDC-1#4","CDC-1","4","Critical","IS_WAIVED","0"
"4","CDC-1#4","CDC-1","4","Critical","IS_WAIVED_INTERNAL","0"
"4","CDC-1#4","CDC-1","4","Critical","NAME","CDC-1#4"
"4","CDC-1#4","CDC-1","4","Critical","SEVERITY","Critical"
"4","CDC-1#4","CDC-1","4","Critical","STARTPOINT_CLOCK","userclk1"
"4","CDC-1#4","CDC-1","4","Critical","STARTPOINT_PIN","G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C"
"4","CDC-1#4","CDC-1","4","Critical","SYNCHRONIZER","EMPTY"
"4","CDC-1#4","CDC-1","4","Critical","WAIVER","EMPTY"
"5","CDC-1#5","CDC-1","5","Critical","CDC_TYPE","No Common Primary Clock"
"5","CDC-1#5","CDC-1","5","Critical","CHECK","CDC-1"
"5","CDC-1#5","CDC-1","5","Critical","CLASS","cdc_violation"
"5","CDC-1#5","CDC-1","5","Critical","DEPTH","0"
"5","CDC-1#5","CDC-1","5","Critical","DESCRIPTION","1-bit unknown CDC circuitry"
"5","CDC-1#5","CDC-1","5","Critical","ENDPOINT_CLOCK","nvp_vclk1"
"5","CDC-1#5","CDC-1","5","Critical","ENDPOINT_PIN","G2B_ONECH_C2H/release_seen_source_reg[0]/D"
"5","CDC-1#5","CDC-1","5","Critical","EXCEPTION","Max Delay Datapath Only"
"5","CDC-1#5","CDC-1","5","Critical","EXCEPTION_ID","EMPTY"
"5","CDC-1#5","CDC-1","5","Critical","FULLNAME","1-bit unknown CDC circuitry"
"5","CDC-1#5","CDC-1","5","Critical","ID","5"
"5","CDC-1#5","CDC-1","5","Critical","IS_WAIVED","0"
"5","CDC-1#5","CDC-1","5","Critical","IS_WAIVED_INTERNAL","0"
"5","CDC-1#5","CDC-1","5","Critical","NAME","CDC-1#5"
"5","CDC-1#5","CDC-1","5","Critical","SEVERITY","Critical"
"5","CDC-1#5","CDC-1","5","Critical","STARTPOINT_CLOCK","userclk1"
"5","CDC-1#5","CDC-1","5","Critical","STARTPOINT_PIN","G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C"
"5","CDC-1#5","CDC-1","5","Critical","SYNCHRONIZER","EMPTY"
"5","CDC-1#5","CDC-1","5","Critical","WAIVER","EMPTY"
"6","CDC-1#6","CDC-1","6","Critical","CDC_TYPE","No Common Primary Clock"
"6","CDC-1#6","CDC-1","6","Critical","CHECK","CDC-1"
"6","CDC-1#6","CDC-1","6","Critical","CLASS","cdc_violation"
"6","CDC-1#6","CDC-1","6","Critical","DEPTH","0"
"6","CDC-1#6","CDC-1","6","Critical","DESCRIPTION","1-bit unknown CDC circuitry"
"6","CDC-1#6","CDC-1","6","Critical","ENDPOINT_CLOCK","nvp_vclk1"
