sample_index,monotonic_ms,utc,target_count,device_count,target_path,canonical_id,part,idcode,done,refresh_result
1,1787665447803,2026-08-25T13:44:07Z,1,1,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,Xilinx/80802026a98b01,xc7a35t,0362D093,1,PASS
2,1787665448679,2026-08-25T13:44:08Z,1,1,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,Xilinx/80802026a98b01,xc7a35t,0362D093,1,PASS
3,1787665449557,2026-08-25T13:44:09Z,1,1,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,Xilinx/80802026a98b01,xc7a35t,0362D093,1,PASS
4,1787665450437,2026-08-25T13:44:10Z,1,1,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,Xilinx/80802026a98b01,xc7a35t,0362D093,1,PASS
5,1787665451314,2026-08-25T13:44:11Z,1,1,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,Xilinx/80802026a98b01,xc7a35t,0362D093,1,PASS
