path,git_blob_sha1,sha256,size_bytes,classification,expected_gate
rtl/top/ahd_capture_top_xdma.sv@BASE_8464AF66,c75db4b946a19a831e9869e3404b4640dae053d6,4B0012B95F32BBA0E2354687C302FF1A12F3DE7EEDA5BF3A7D987656ED237EF1,15583,TOP_LEVEL_BASELINE_IDENTITY,MUST_MATCH_FORMAL_FUNCTIONAL_INPUT
rtl/top/ahd_capture_top_xdma.sv@DIAGNOSTIC_F007DC17,81ad214137a6e5ab7fce47b5c75dde5bf21f0c82,5CF85EBCF0C39768EAB6780869DC3FFEADD435F54712191481343174F6917EDC,15583,AUTHORIZED_SINGLE_LINE_DIAGNOSTIC_IDENTITY,ONLY_I2C_HZ_CONNECTION_DIFFERS_FROM_BASELINE
scripts/v41/phase3_build.tcl,b908146795f6bf0033a4e2ae211208ff20532583,D7531F2B12B5CCBF91484C8A28182B0C0FCF71C93277A697F2D6793338DA8440,13599,PROVENANCE_BUILD_SCRIPT,MUST_REMAIN_UNCHANGED
ip/v41/xdma_v41_m1.xci,5065b919254fe164ac831192b93c29734737b859,EA651CA26A2FE4AA5201A5E88BA41D9BD737A3BF19D58AA89394D1CB8C1B0A7C,166383,PROTECTED_XDMA_XCI,MUST_REMAIN_UNCHANGED
rtl/nvp/nvp6134c_autoinit.vhd,5dc0230cd569f03d68452055db6b10c5fcade751,74EFDC0147ADEA9A13265C061ECD3BA0B8042A2357B0A0E10673112F9986C17F,9964,PROTECTED_NVP,MUST_REMAIN_UNCHANGED
rtl/nvp/nvp6134c_i2c_bringup.vhd,cfe33464d8e75c514462786593b278d90b4059a4,027D0D2258E5FF80A2675198EA9CD7085E2FD360B0EBCE9C423D631656DF9080,54013,PROTECTED_NVP,MUST_REMAIN_UNCHANGED
rtl/nvp/nvp6134c_diagnostics_pkg.vhd,7ddd60fc86da49cda1adcd7af7b772b337c95df6,36BCA98533647E998A281A518935669FB29B48125D48F6D3785EA12CBFF04156,36196,PROTECTED_NVP,MUST_REMAIN_UNCHANGED
xdc/boards/current/nvp_control.xdc,2e4a6f56d5dfa227a968492fe4476d25721f09f9,B2AE6FA7446A094D68149A8016F89FD4E7F72CA438200772CF0E4B33D7E2F318,1149,PROTECTED_PIN_CONTROL_XDC,MUST_REMAIN_UNCHANGED
rtl/v41/control_status_regs.sv,3582a21f235678e3310b8dc523818cfeace96d97,849DC315A243267941D196BC8039426F4C99893DDFBD9BD9F4E21EA5741C392F,8130,REGISTER_CONTRACT,MUST_REMAIN_UNCHANGED
tb/v41/tb_control_status_regs.sv,e74ec04676219d154d1c5a75a133fb1d4ec81b3e,8AA22C76A5761DAF792A464EEE1CFE9F78498AF37E9489A38D0890CD3C7F56B8,7718,REGISTER_CONTRACT_TEST,MUST_REMAIN_UNCHANGED
docs/v41/phase3/AXI_LITE_REGISTER_MAP.md,82a07e5fb5d23dde36dbce03d18624eaa2d81725,984B3A89E182AFAD9513FD1F6269539C26150B8685E3295D28A12200CAB06047,3941,REGISTER_CONTRACT_DOCUMENT,MUST_REMAIN_UNCHANGED
