Phase,TransactionCount,NACKCount,TimeoutCount,BusRecoveryCount,Result
PRODUCT_EQUIVALENT_AUTOINIT,N/A,0,0,N/A,PASS
AFTER_DIAG_CLEAR,N/A,N/A,N/A,N/A,MMIO_UNRESPONSIVE
