"Tap","PinCount","Direction","NetCount","AllFanoutEndpointCellCount","FunctionalG2BEndpointCount","DiagnosticEndpointCount","Disposition"
"diag_stored_enable","1","OUT","1","1053","0","287","PASS_SOURCE_DRIVER_DELTA_DIAGNOSTIC_ONLY_PORT_NAMES_OPTIMIZED"
"diag_c2h_active","7","OUT","7","1575","0","287","PASS_SOURCE_DRIVER_DELTA_DIAGNOSTIC_ONLY_PORT_NAMES_OPTIMIZED"
"diag_ring_empty","1","OUT","1","1050","0","287","PASS_SOURCE_DRIVER_DELTA_DIAGNOSTIC_ONLY_PORT_NAMES_OPTIMIZED"
"diag_ring_full","1","OUT","1","288","0","287","PASS_SOURCE_DRIVER_DELTA_DIAGNOSTIC_ONLY_PORT_NAMES_OPTIMIZED"
