Family,Source_Count,Destination_Cell_Count,Destination_D_Pin_Inventory_Count,Target_Scope,Required_ns,Worst_Actual_ns,Slack_ns,Result,Runtime_s,Startpoint_Pin,Endpoint_Pin,Startpoint_Clock,Endpoint_Clock,Logic_Levels,Exception
"RESET_ABANDONED_HOLD","3","32","32","CELLS_ALL_TIMING_ENDPOINT_PINS","6.000","2.634","3.467","PASS","92.149","G2B_ONECH_C2H/reset_abandoned_hold_source_reg[2]/C","G2B_ONECH_C2H/records_abandoned_axi_reg[31]/D","nvp_vclk1","userclk1","9","MaxDelay Path 6.000ns -datapath_only"
"RESET_COMMIT_PHASE_HOLD","4","207","207","CELLS_ALL_TIMING_ENDPOINT_PINS","6.000","3.756","1.723","PASS","5.862","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_events_axi_reg[21]/R","nvp_vclk1","userclk1","5","MaxDelay Path 6.000ns -datapath_only"
