Timestamp,Operation,Offset,Value,Purpose,Precondition,Authorized,Result,CompletionMonotonicNs
1788967133439047074,WRITE,0x380C,0x00000004,RESET_STREAM_STATE,S0_QUIESCENT,YES,INTENT,
1788967133439047074,WRITE,0x380C,0x00000004,RESET_STREAM_STATE,S0_QUIESCENT,YES,PASS,12350667750160
1788967133439204355,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,BASELINE_PRE_ENABLE,YES,INTENT,
1788967133439204355,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,BASELINE_PRE_ENABLE,YES,PASS,12350667894056
1788967133447040799,WRITE,0x380C,0x00000001,STREAM_ENABLE,ROLLING_PREQUEUE_READY,YES,INTENT,
1788967133447040799,WRITE,0x380C,0x00000001,STREAM_ENABLE,ROLLING_PREQUEUE_READY,YES,PASS,12350675745719
1788967133539521563,WRITE,0x380C,0x00000000,NORMAL_DISABLE,PRIMARY_WINDOW_COMPLETE,YES,INTENT,
1788967133539521563,WRITE,0x380C,0x00000000,NORMAL_DISABLE,PRIMARY_WINDOW_COMPLETE,YES,PASS,12350768198802
1788967133539579420,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,PRIMARY_WINDOW_EVIDENCE,YES,INTENT,
1788967133539579420,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,PRIMARY_WINDOW_EVIDENCE,YES,PASS,12350768269914
1788967133539692600,WRITE,0x380C,0x00000004,POST_TARGET_TAIL_FLUSH,PRIMARY_COMPLETE_AND_NORMAL_DISABLE_ISSUED,YES,INTENT,
1788967133539692600,WRITE,0x380C,0x00000004,POST_TARGET_TAIL_FLUSH,PRIMARY_COMPLETE_AND_NORMAL_DISABLE_ISSUED,YES,PASS,12350768384736
1788967133940350979,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,FINAL_POST_QUIESCENCE,YES,INTENT,
1788967133940350979,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,FINAL_POST_QUIESCENCE,YES,PASS,12351169045641
