Checkpoint,I2CTransactionCount,I2CNACKCount,I2CTimeoutCount,I2CRecoveryCount,Result
AFTER_CLEAR,0,0,0,0,PASS
PREPARE_A,26,0,0,0,PASS
PREPARE_B,52,0,0,0,PASS
SESSION_1_SNAPSHOT,87,0,0,0,PASS
FINAL_RESTORE,NOT_EXPOSED_IN_RECEIPT,0,0,0,PASS
