"Round","ExpectedBG78","ExpectedBG79","ObservedBG78","ObservedBG79","Result"
"1","0x46","0x13","0x46","0x13","PASS_SNAPSHOT_SESSION_1"
"2","0x61","0x34","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"3","0x13","0x46","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"4","0x34","0x61","NOT_REACHED","NOT_REACHED","NOT_REACHED"
