PreviousRecordIndex,Line0RecordIndex,PreviousFrame,Line0Frame,Line0Line,Line0Flags,Line1Follows,Line1Flags,CaptureSequenceDelta,MinimumLegalCaptureSequenceDelta,MaximumLegalCaptureSequenceDelta,TailIntervals,AttemptSequenceDelta,GlobalSequenceDelta,MalformedDelta,DroppedDelta,Failures,Result
535,536,682469,682470,0,0x00000021,True,0x00000020,22,1,22,21,1,1,0,0,,PASS
1615,1616,682470,682471,0,0x00000021,True,0x00000020,22,1,22,21,1,1,0,0,,PASS
