Artifact,ExpectedSHA256,Found,ObservedSHA256
primary,BFA986D1BAC2E6C57342AC6F6D08C087A811FC72E97C9F1F8A383E53B78D7A6A,NO,NONE
qualified_frame,F7DC021138D6A4996DC07554629D1CA38417BF3237672BDC6949F710ADA77285,NO,NONE
qualified_png,C15C5B255951664F619C2F1E02FC18BB4E56BEC635E466AAB951C9612BEF6A79,NO,NONE
