ab_index,block_index,replica,mode_planned,mode_effective,block_id,scan_attempt_id,generation_before,generation_after,complete,first_entry_read_opportunities,regaddr_nack_events,other_recovered_causes,retried_entries,bank_restore,entry_count,group_count,transaction_count,fpga_ticks,fpga_duration_ms,host_start_ns,host_collected_ns,raw_sha256,legacy_raw_sha256,telemetry_raw_sha256,w3a_status,rejected_write_count
15,1,I,A,A,3271557377,16,15,16,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717496604518247,1789717496779990286,D9620F3FC6CD73A47F24B0119C9A9C69CA41AFAF0DF364F606B113843E4CF54C,332B11506A9C0F71DB199D459EE9227AE57C76AE8214CD43C3B29F9D1D0496C1,89B5653939D58EE3EA25F2967191C65E45ED1596F32A20D3127B736992B08E28,8,0
16,1,I,A,A,3271557377,17,16,17,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717496787013235,1789717496962763166,0E72AE906AD32B0800E72BA533728C25D63D199FF18EED4D0B167D1AE8A77E19,440E43D26474FA15D0C09CE56D4C5F9A34A7540CF5F79DA5FF10D8DE56218FEE,D67BAB75760F4D38DD82F69A52895CADEB5B9B4D369B80698F156B8069A3AFC8,8,0
17,2,I,B,B,3271557378,18,17,18,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717498484018424,1789717498663247287,8F89497B6BAF824CFF5659C75360A0EEAFD636239F73CA4D52EAF43AD5F94A9F,58814804C597018A2B2421E4B883B72CAC249F4C41F00FC873D4CD1CDC0074A8,C1CCAADF45B6494EFD6B0229CAB46A80CE0018DA72B6EF1B27C562450351EB26,28,0
18,2,I,B,B,3271557378,19,18,19,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717498674831666,1789717498852983583,9CA86CFE14691629B61FD9BE3D74C8CE8FCB90E18C18C61F12F61193CAE3E9C7,F227AFB2ABDF0308C7A2164A82A2D36644378289ACA4F95AAB86046192164206,706281BADFE60DC15C35F879E675CE889277BDB0207406E10059CD4BBDA23BEF,28,0
19,2,I,B,B,3271557378,20,19,20,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717498860473423,1789717499038580248,1CD44030001E38AF20717A5ECA4DE74B85C0E46C4BE0B50851949EA77601BE5C,B20EC24173EFA2B575C0354288150521BF4CCBB910104D2019CE3C6F4790CDCC,8B1AF42417C37C155948AD0365223FE818C50EEEFA4B3BF7C3A924A1F43A52A7,28,0
20,2,I,B,B,3271557378,21,20,21,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717499046047005,1789717499224593521,A351ED05F43F2015806B1310915E02812EA80ED77AD196653A10DB2D141C6CCD,74F9595F3B6C10964B90B0F3EA75A416AEF4FAC541900A1C1DC7478C2B67E4D1,1B4ABD1C8F91EA62EBD7B9FB44553C47B67EE5FFC6FD047624DA833011236F00,28,0
21,2,I,B,B,3271557378,22,21,22,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717499232060819,1789717499409845392,76D5A2E343FC9185BF37FF3E0DAC00A1915474C91FF37BF62FDA4829FB760BAB,094C9D038251FE9B6CF9F397C1BF1AB16EB087A3C0195CD33F3445545217C0F0,67A984766095CFA26E37D7E518231A3C2E2BD73EF114A377E5801056040D3CBE,28,0
22,2,I,B,B,3271557378,23,22,23,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717499416946725,1789717499595093325,3576172509CDDFE9D8D164972E7403C9F2657BA2A8088BB196ACDD14C55682C3,DB09648468681FF5BDBDBA46B47ACFEA20A6907F8E7C34319BCD84DAF30A21B7,80C6AD0D639ACDB8E5ED804E13B19B3359464BA3A674B202B61410D69DB10F45,28,0
23,2,I,B,B,3271557378,24,23,24,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717499602090636,1789717499781720381,49DF1F35997ED88D283E92ADAEFF076C2476145904209F80B63E54D8328F55CE,5B37C007DB120FCBA711E060296CF1F7CB3C8F68494938758DC476FF761C16D8,8589A9C73C1B86DA911F4EE1A18933FB88B9D946C670F80591BF93CF2A253497,28,0
24,2,I,B,B,3271557378,25,24,25,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717499789184974,1789717499968809218,195AD9A75228AF51443E428030D83C3323AB971D32A1F05CC5F339B2A87E6A5C,0EC1FAA2E0D23FD30A2E066FC949A09B35410995BD92A7F76426692CFE1F5380,E25D0BF4F1EEE9C1764A694351F2DEF522359446B752D1555A338D20EEFCF90D,28,0
25,2,I,B,B,3271557378,26,25,26,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717499976359429,1789717500154299386,FCD341475C44A9BBA49887556D411A2572884F5FE975508D639A3D9532BB07E6,5AEDE318D1830C7E3D52249C363F3A6298BE2B85CC6804C8BE5B884091B34CE2,AAAACEA6DEF2BD6D8F96A4B7D0541C208B3508D2BF603E05EF395672BC3E6283,28,0
26,2,I,B,B,3271557378,27,26,27,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717500162045719,1789717500339846960,48748432F4229596C1F2BF1CE64DE16A4AB2F04DD63217DEAC941C4A7230244F,25728C2E481304F0454B6D15C783FEEB11BD5759A16FD0F39F6204C5F2A67DFE,8D5E95CF112425E4CF7A3B7AC8519E1817EF95D64795EBAFCD7BA0209A2596A8,28,0
27,2,I,B,B,3271557378,28,27,28,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717500347356255,1789717500525382103,ED2114E1E604D1C9B121DFF22606EBADB2F4BF36D057A45E09FB99B8EA5286DE,49F3E3A3ABEAED562C5C0540863CCEFAB770F5655B79E2804D2DA470CF93A7FC,6BDC38C38865E5917F3133D4C330FFB09E968E235F4C5C4224DCEB8575FABCDF,28,0
28,2,I,B,B,3271557378,29,28,29,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717500532870059,1789717500712617912,1D4767C2887498CA758FE47C96539772B73DB73238825A6414DAB58569EA0585,8532A4439266981C6D076AE39CFBBFB9AA52B64F28AAF06EA80B470031783B61,A03E9058F43370DA7C611E9EC3E9406256296B017EA9F3356905CD95E8C79729,28,0
