"INDEX","OFFSET","NAME","ACCESS","RTL_CASE_PRESENT","RTL_EXPRESSION","DOC_TABLE_COVERED","WRITE_DECODE_PRESENT","ACCESS_SEMANTICS_PASS","ROW_RESULT"
"1","0x0000","BLOCK_ID","RO","True","BLOCK_ID","False","False","True","FAIL"
"2","0x0004","PROTOCOL","RO","True","PROTOCOL","False","False","True","FAIL"
"3","0x0008","CAPABILITIES","RO","True","CAPABILITIES","False","False","True","FAIL"
"4","0x000C","BUILD_ID_SCHEMA","RO","True","BUILD_ID_SCHEMA","False","False","True","FAIL"
"5","0x0010","GIT_SHA_W0","RO","True","GIT_SHA_W0","False","False","True","FAIL"
"6","0x0014","GIT_SHA_W1","RO","True","GIT_SHA_W1","False","False","True","FAIL"
"7","0x0018","GIT_SHA_W2","RO","True","GIT_SHA_W2","False","False","True","FAIL"
"8","0x001C","GIT_SHA_W3","RO","True","GIT_SHA_W3","False","False","True","FAIL"
"9","0x0020","GIT_SHA_W4","RO","True","GIT_SHA_W4","False","False","True","FAIL"
"10","0x0024","VIVADO_VERSION","RO","True","VIVADO_VERSION","False","False","True","FAIL"
"11","0x0028","VIVADO_SW_BUILD","RO","True","VIVADO_SW_BUILD","False","False","True","FAIL"
"12","0x002C","BUILD_FLAGS","RO","True","BUILD_FLAGS","False","False","True","FAIL"
"13","0x0030","TRANSPORT_SIGNATURE","RO","True","TRANSPORT_SIGNATURE","False","False","True","FAIL"
"14","0x0034","SCRATCH_RW","RW","True","scratch_rw","False","True","True","FAIL"
"15","0x0040","RESERVED_CAPTURE_CONTROL_0","RESERVED","True","32'b0","False","False","True","FAIL"
"16","0x0044","RESERVED_CAPTURE_CONTROL_1","RESERVED","True","32'b0","False","False","True","FAIL"
"17","0x0048","RESERVED_CAPTURE_CONTROL_2","RESERVED","True","32'b0","False","False","True","FAIL"
"18","0x004C","RESERVED_CAPTURE_CONTROL_3","RESERVED","True","32'b0","False","False","True","FAIL"
"19","0x0050","CAPTURE_STATUS","RO","True","{27'b0, capture_request_busy, capture_aborted, capture_done, capture_armed, capture_busy}","False","False","True","FAIL"
"20","0x0054","CAPTURE_GENERATION","RO","True","capture_generation","False","False","True","FAIL"
"21","0x0058","CAPTURED_LINE_COUNT","RO","True","captured_line_count","False","False","True","FAIL"
"22","0x005C","FIRST_SOURCE_LINE","RO","True","first_source_line","False","False","True","FAIL"
"23","0x0060","FRAME_SEQUENCE","RO","True","frame_sequence","False","False","True","FAIL"
"24","0x0064","BAD_MARKER_COUNT","RO","True","bad_marker_count","False","False","True","FAIL"
"25","0x0068","BAD_LENGTH_COUNT","RO","True","bad_length_count","False","False","True","FAIL"
"26","0x006C","CAPTURE_OVERFLOW_COUNT","RO","True","capture_overflow_count","False","False","True","FAIL"
"27","0x0070","MALFORMED_COUNT","RO","True","malformed_count","False","False","True","FAIL"
"28","0x0074","CAPTURE_DROPPED_COUNT","RO","True","capture_dropped_count","False","False","True","FAIL"
"29","0x0078","ARM_REJECTED_COUNT","RO","True","arm_rejected_count","False","False","True","FAIL"
"30","0x007C","MAILBOX_REJECTED_COUNT","RO","True","mailbox_rejected_count","False","False","True","FAIL"
"31","0x0080","VCLK_EDGE_COUNT","RO","True","vclk_edge_count","False","False","True","FAIL"
"32","0x0084","ACTIVE_SAV_COUNT","RO","True","active_sav_count","False","False","True","FAIL"
"33","0x0088","RECORD_COMMIT_COUNT","RO","True","record_commit_count","False","False","True","FAIL"
"34","0x008C","NVP_STATUS","RO","True","{24'b0, nvp_sda_sample, nvp_scl_sample, nvp_vdd3x_active, nvp_vdd1x_active, nvp_reset_released, nvp_init_busy, nvp_init_error, nvp_init_done}","False","False","True","FAIL"
"35","0x0090","NVP_NACK_COUNT","RO","True","{16'b0, nvp_detail[143:128]}","False","False","True","FAIL"
"36","0x0094","NVP_TIMEOUT_COUNT","RO","True","{16'b0, nvp_detail[159:144]}","False","False","True","FAIL"
"37","0x0098","NVP_CURRENT_OP","RO","True","{nvp_detail[31:16], nvp_detail[7:0], nvp_detail[15:8]}","False","False","True","FAIL"
"38","0x009C","NVP_FIRST_ERROR","RO","True","{nvp_detail[80], 7'b0, nvp_detail[95:88], nvp_detail[103:96], 8'b0}","False","False","True","FAIL"
"39","0x00A0","NVP_DETAIL_W0","RO","True","nvp_detail[31:0]","False","False","True","FAIL"
"40","0x00A4","NVP_DETAIL_W1","RO","True","nvp_detail[63:32]","False","False","True","FAIL"
"41","0x00A8","NVP_DETAIL_W2","RO","True","nvp_detail[95:64]","False","False","True","FAIL"
"42","0x00AC","NVP_DETAIL_W3","RO","True","nvp_detail[127:96]","False","False","True","FAIL"
"43","0x00B0","NVP_DETAIL_W4","RO","True","nvp_detail[159:128]","False","False","True","FAIL"
"44","0x00B4","NVP_DETAIL_W5","RO","True","nvp_detail[191:160]","False","False","True","FAIL"
"45","0x00C0","DMA_STATUS","RO","True","dma_status","False","False","True","FAIL"
"46","0x00C4","RECORDS_STREAMED","RO","True","records_streamed","False","False","True","FAIL"
"47","0x00C8","DROPPED_RECORDS","RO","True","dropped_records","False","False","True","FAIL"
"48","0x00CC","C2H_STALL_CYCLES_LO","RO","True","c2h_stall_cycles[31:0]","False","False","True","FAIL"
"49","0x00D0","C2H_STALL_CYCLES_HI","RO","True","c2h_stall_cycles[63:32]","False","False","True","FAIL"
"50","0x00D4","LAST_STREAMED_CAPTURE_SEQUENCE","RO","True","last_streamed_capture_sequence","False","False","True","FAIL"
"51","0x00D8","STREAM_PROTOCOL_ERRORS","RO","True","stream_protocol_errors","False","False","True","FAIL"
"52","0x00DC","USER_IRQ_COUNT","RO","True","user_irq_count","False","False","True","FAIL"
"53","0x00E0","H2C_ATTEMPT_COUNT","RO","True","h2c_attempt_count","False","False","True","FAIL"
