component,count_or_ticks,tick_cycles,tick_us,total_ticks,total_us
Top local POR,320,1,0.016,320,5.120
Physical reset hold,target 31250000 clock cycles,1,0.016,31250001,500000.016
First-start delay,target 93750000 clock cycles,1,0.016,93750001,1500000.016
Successful write transactions,220,61,10.016,13420,134414.720
Successful read transactions,55,83,10.016,4565,45723.040
Disabled table NOPs,26,2,10.016,52,520.832
Table delay operation,1,1003,10.016,1003,10046.048
Final settle,1,12001,10.016,12001,120202.016
Start recognition plus FINISH,2,1,10.016,2,20.032
