"session_index","sample_index","monotonic_ms","utc","target_count","device_count","target_path","canonical_id","server_endpoint","transport_class","part","idcode","done","refresh_result"
"1","1","1787521926589","2026-08-23T21:52:06Z","1","1","localhost:3121/xilinx_tcf/Xilinx/80802026a98b01","Xilinx/80802026a98b01","localhost:3121","xilinx_tcf","xc7a35t","0362D093","0","PASS"
"1","2","1787521927410","2026-08-23T21:52:07Z","1","1","localhost:3121/xilinx_tcf/Xilinx/80802026a98b01","Xilinx/80802026a98b01","localhost:3121","xilinx_tcf","xc7a35t","0362D093","0","PASS"
"1","3","1787521928223","2026-08-23T21:52:08Z","1","1","localhost:3121/xilinx_tcf/Xilinx/80802026a98b01","Xilinx/80802026a98b01","localhost:3121","xilinx_tcf","xc7a35t","0362D093","0","PASS"
"1","4","1787521929036","2026-08-23T21:52:09Z","1","1","localhost:3121/xilinx_tcf/Xilinx/80802026a98b01","Xilinx/80802026a98b01","localhost:3121","xilinx_tcf","xc7a35t","0362D093","0","PASS"
"1","5","1787521929834","2026-08-23T21:52:09Z","1","1","localhost:3121/xilinx_tcf/Xilinx/80802026a98b01","Xilinx/80802026a98b01","localhost:3121","xilinx_tcf","xc7a35t","0362D093","0","PASS"
"2","1","1787522014467","2026-08-23T21:53:34Z","1","1","localhost:3121/xilinx_tcf/Xilinx/80802026a98b01","Xilinx/80802026a98b01","localhost:3121","xilinx_tcf","xc7a35t","0362D093","0","PASS"
"2","2","1787522015280","2026-08-23T21:53:35Z","1","1","localhost:3121/xilinx_tcf/Xilinx/80802026a98b01","Xilinx/80802026a98b01","localhost:3121","xilinx_tcf","xc7a35t","0362D093","0","PASS"
"2","3","1787522016081","2026-08-23T21:53:36Z","1","1","localhost:3121/xilinx_tcf/Xilinx/80802026a98b01","Xilinx/80802026a98b01","localhost:3121","xilinx_tcf","xc7a35t","0362D093","0","PASS"
"2","4","1787522016889","2026-08-23T21:53:36Z","1","1","localhost:3121/xilinx_tcf/Xilinx/80802026a98b01","Xilinx/80802026a98b01","localhost:3121","xilinx_tcf","xc7a35t","0362D093","0","PASS"
"2","5","1787522017685","2026-08-23T21:53:37Z","1","1","localhost:3121/xilinx_tcf/Xilinx/80802026a98b01","Xilinx/80802026a98b01","localhost:3121","xilinx_tcf","xc7a35t","0362D093","0","PASS"
