property_name	property_value
AUTH_JTAG.FILE	
BOOT_PROBES.FILE	
BSCAN_SWITCH_USER_MASK	0001
CLASS	hw_device
DID	jsn-DLC10-80802026a98b01-0362d093-0
FULL_PROBES.FILE	
IDCODE	00000011011000101101000010010011
IDCODE_HEX	0362D093
INDEX	0
IR_LENGTH	6
IS_SYSMON_SUPPORTED	1
MASK	00001111111111111111111111111111
MASK_HEX	0FFFFFFF
NAME	xc7a35t_0
PART	xc7a35t
PARTIAL_PROBES.FILES	
PROBES.FILE	
PROGRAM.BOOT_FILE	
PROGRAM.DPA_COUNT	0
PROGRAM.DPA_MODE	
PROGRAM.DPA_PROTECT	0
PROGRAM.FILE	
PROGRAM.HW_BITSTREAM	
PROGRAM.HW_CFGMEM	
PROGRAM.HW_CFGMEM_BITFILE	
PROGRAM.HW_CFGMEM_TYPE	
PROGRAM.IS_AES_PROGRAMMED	0
PROGRAM.IS_RSA_PROGRAMMED	0
PROGRAM.IS_SUPPORTED	1
PROGRAM.LOG	
PROGRAM.OPTIONS	
PROGRAM.READBACK_FILE	
REGISTER.BOOT_STATUS	00000000000000000000000000000000
REGISTER.BOOT_STATUS.BIT00_0_STATUS_VALID	0
REGISTER.BOOT_STATUS.BIT01_0_FALLBACK	0
REGISTER.BOOT_STATUS.BIT02_0_INTERNAL_PROG	0
REGISTER.BOOT_STATUS.BIT03_0_WATCHDOG_TIMEOUT_ERROR	0
REGISTER.BOOT_STATUS.BIT04_0_ID_ERROR	0
REGISTER.BOOT_STATUS.BIT05_0_CRC_ERROR	0
REGISTER.BOOT_STATUS.BIT06_0_WRAP_ERROR	0
REGISTER.BOOT_STATUS.BIT07_0_SECURITY_ERROR	0
REGISTER.BOOT_STATUS.BIT08_1_STATUS_VALID	0
REGISTER.BOOT_STATUS.BIT09_1_FALLBACK	0
REGISTER.BOOT_STATUS.BIT10_1_INTERNAL_PROG	0
REGISTER.BOOT_STATUS.BIT11_1_WATCHDOG_TIMEOUT_ERROR	0
REGISTER.BOOT_STATUS.BIT12_1_ID_ERROR	0
REGISTER.BOOT_STATUS.BIT13_1_CRC_ERROR	0
REGISTER.BOOT_STATUS.BIT14_1_WRAP_ERROR	0
REGISTER.BOOT_STATUS.BIT15_1_SECURITY_ERROR	0
REGISTER.BOOT_STATUS.BIT16_RESERVED	0000000000000000
REGISTER.CONFIG_STATUS	01010000000000000001100100001100
REGISTER.CONFIG_STATUS.BIT00_CRC_ERROR	0
REGISTER.CONFIG_STATUS.BIT01_DECRYPTOR_ENABLE	0
REGISTER.CONFIG_STATUS.BIT02_PLL_LOCK_STATUS	1
REGISTER.CONFIG_STATUS.BIT03_DCI_MATCH_STATUS	1
REGISTER.CONFIG_STATUS.BIT04_END_OF_STARTUP_(EOS)_STATUS	0
REGISTER.CONFIG_STATUS.BIT05_GTS_CFG_B_STATUS	0
REGISTER.CONFIG_STATUS.BIT06_GWE_STATUS	0
REGISTER.CONFIG_STATUS.BIT07_GHIGH_STATUS	0
REGISTER.CONFIG_STATUS.BIT08_MODE_PIN_M[0]	1
REGISTER.CONFIG_STATUS.BIT09_MODE_PIN_M[1]	0
REGISTER.CONFIG_STATUS.BIT10_MODE_PIN_M[2]	0
REGISTER.CONFIG_STATUS.BIT11_INIT_B_INTERNAL_SIGNAL_STATUS	1
REGISTER.CONFIG_STATUS.BIT12_INIT_B_PIN	1
REGISTER.CONFIG_STATUS.BIT13_DONE_INTERNAL_SIGNAL_STATUS	0
REGISTER.CONFIG_STATUS.BIT14_DONE_PIN	0
REGISTER.CONFIG_STATUS.BIT15_IDCODE_ERROR	0
REGISTER.CONFIG_STATUS.BIT16_SECURITY_ERROR	0
REGISTER.CONFIG_STATUS.BIT17_SYSTEM_MONITOR_OVER-TEMP_ALARM_STATUS	0
REGISTER.CONFIG_STATUS.BIT18_CFG_STARTUP_STATE_MACHINE_PHASE	000
REGISTER.CONFIG_STATUS.BIT21_RESERVED	0000
REGISTER.CONFIG_STATUS.BIT25_CFG_BUS_WIDTH_DETECTION	00
REGISTER.CONFIG_STATUS.BIT27_HMAC_ERROR	0
REGISTER.CONFIG_STATUS.BIT28_PUDC_B_PIN	1
REGISTER.CONFIG_STATUS.BIT29_BAD_PACKET_ERROR	0
REGISTER.CONFIG_STATUS.BIT30_CFGBVS_PIN	1
REGISTER.CONFIG_STATUS.BIT31_RESERVED	0
REGISTER.COR0	00003fec
REGISTER.COR0.BIT00_GWE_CYCLE	100
REGISTER.COR0.BIT03_GTS_CYCLE	101
REGISTER.COR0.BIT06_LOCK_CYCLE	111
REGISTER.COR0.BIT09_MATCH_CYCLE	111
REGISTER.COR0.BIT12_DONE_CYCLE	011
REGISTER.COR0.BIT15_SSCLKSRC	00
REGISTER.COR0.BIT17_OSCFSEL	000000
REGISTER.COR0.BIT23_SINGLE	0
REGISTER.COR0.BIT24_DRIVE_DONE	0
REGISTER.COR0.BIT25_DONE_PIPE	0
REGISTER.COR0.BIT26_RESERVED	0
REGISTER.COR0.BIT27_PWRDWN_STAT	0
REGISTER.COR0.BIT28_RESERVED	0000
REGISTER.COR1	00000000
REGISTER.COR1.BIT00_BPI_PAGE_SIZE	00
REGISTER.COR1.BIT02_BPI_1ST_READ_CYCLE	00
REGISTER.COR1.BIT04_RESERVED	0000
REGISTER.COR1.BIT08_RBCRC_EN	0
REGISTER.COR1.BIT09_RBCRC_NO_PIN	0
REGISTER.COR1.BIT10_RESERVED	00000
REGISTER.COR1.BIT15_RBCRC_ACTION	00
REGISTER.COR1.BIT17_PERSIST_DEASSERT_AT_DESYNC	0
REGISTER.COR1.BIT18_RESERVED	00000000000000
REGISTER.IR	010001
REGISTER.IR.BIT0_ALWAYS_ONE	1
REGISTER.IR.BIT1_ALWAYS_ZERO	0
REGISTER.IR.BIT2_ISC_DONE	0
REGISTER.IR.BIT3_ISC_ENABLED	0
REGISTER.IR.BIT4_INIT_COMPLETE	1
REGISTER.IR.BIT5_DONE	0
REGISTER.TIMER	00000000
REGISTER.TIMER.BIT00_TIMER_VALUE	000000000000000000000000000000
REGISTER.TIMER.BIT30_TIMER_CFG_MON	0
REGISTER.TIMER.BIT31_TIMER_USR_MON	0
REGISTER.USERCODE	ffffffff
REGISTER.USR_ACCESS	00000000
REGISTER.WBSTAR	00000000
REGISTER.WBSTAR.BIT00_START_ADDR	00000000000000000000000000000
REGISTER.WBSTAR.BIT29_RS_TS_B	0
REGISTER.WBSTAR.BIT30_RS	00
UNKNOWN_DEVICE	0
USE_BSCAN_FALLBACK	Default
USER_CHAIN_COUNT	4
VARIANT_NAME	
XSDB_USER_BSCAN	1,3
