Field,ValueDecimal,ValueHex
magic,1279543361,0x4C444841
record_version,16641,0x00004101
reset_epoch,3,0x00000003
source_frame_sequence,202797,0x0003182D
source_line_sequence,503,0x000001F7
source_capture_sequence,218212462,0x0D01A86E
payload_length,3840,0x00000F00
flags,36,0x00000024
active_logical_channel_count,1,0x00000001
source_slot_generation_and_slot,256,0x00000100
source_malformed_count_snapshot,4258695,0x0040FB87
source_dropped_count_snapshot,807970,0x000C5422
logical_channel_id,0,0x00000000
physical_input_id,0,0x00000000
channel_attempt_sequence,0,0x00000000
global_stream_sequence,0,0x00000000
