Window,LogicalIndex,RecordIndex,Epoch,Frame,Line,Flags,SourceMalformedSnapshot,SourceDroppedSnapshot,GlobalSequence,AttemptSequence,BeforeFirstCleanSOF,InsideQualifiedFrame
PRIMARY,575,575,3,202798,1,0x00000034,4258716,807973,575,578,True,False
PRIMARY,1654,1654,3,202799,1,0x00000034,4258737,807974,1654,1658,True,False
