Metric,Value
DISCONTINUITY_FLAG_RECORDS,4
OVERFLOW_OCCURRED_FLAG_RECORDS,1
MALFORMED_PRECEDING_FLAG_RECORDS,2
GLOBAL_SEQUENCE_GAPS,0
ATTEMPT_SEQUENCE_GAPS,3
SOURCE_PROGRESSION_BREAKS,3
