Checkpoint,Epoch,Control,Status,ErrorStatus,LastErrorCause,Attempted,Committed,Streamed,Dropped,Overflow,Discontinuity,Abandoned,BeatsStreamed,LastGlobalSequence,LastAttemptSequence,Timestamp
S0,2,0,196,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,1788865505125551182
S1,3,0,196,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,1788865505125684429
S2,3,0,1220,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,1788865505125821863
SP,3,0,1274,7,1,3136,2536,2532,600,598,3,0,1296384,2531,2535,1788865505258143439
