CheckIndex,Group,Family,SourceCount,DestinationCount,RequiredNs,DatapathDelayNs,SlackNs,RuntimeMs,Result,ReportSHA256,ObjectsSHA256
1,9,OWNERSHIP_SLOT_SETTLING,2,17,6.000,5.660,0.370,24,PASS,93FDF71FD069ECD802D1DDB82AAC0FF90DF91CA1B93ECE61D4F16D77598784C9,B46DAE7B170E57500FE15C37EE984681FE91AABD6BC7BAFEC722B661F3903E73
2,9,OWNERSHIP_GENERATION_SETTLING,24,17,6.000,4.743,1.287,38,PASS,2516E519BF8858F00399C3A850873CE254C99ADA8BD846965E7D866AA9A9E465,EC5046ADE082619328E4B42C3247BEF6EA3A27E5A61ECE4646CFA06E84F002C5
3,9,OWNERSHIP_EPOCH_SETTLING,32,17,6.000,5.233,0.797,28,PASS,52A50C4DCF5708E0BF88BA219DF76A8AA1F884418E9947F310A135AEE0840BDB,08B06DE34850B175DC2322EE0CF3F66111D06E40FBB35F7253CE323B4ECA0D26
4,13,RESET_ABANDONED_COUNT_STABLE_PAYLOAD,3,32,6.000,3.245,2.814,20,PASS,44C6811A5B19CA503DC6894F5A0249ED452E776D93AAE7F33A3B2549A24BD4FE,D355108B0BC73440A53F84F7606EB3B944FD1EF705C776EF2282EF25549483FD
5,13,RESET_COMMIT_PHASE_COMPLETION_BARRIER,4,207,6.000,4.538,1.294,26,PASS,AD963424AD2363A1ED725EF2FF7C3489C35CEFCC9D3B14D730093BD48E6C251B,A6141696B1DF179F6E6D826274049524330B75EC42FC697F40590737DAC8F4A7
6,14,RELEASE_SLOT0_NORMAL_STATE_TRANSITION,56,3,6.000,5.409,0.621,29,PASS,3399242B594F3969D41A95C98DDAE664D06900D677E9CB3E81BA8E85AE7358FB,A289A2EF69ECF86321C50A4BB0E0051EC78038788DFCBB9BBFA2CC5981BC5468
7,14,RELEASE_SLOT0_MISMATCH_CONTAINMENT,56,4,6.000,5.353,0.677,36,PASS,3390276F38491271E6C64CCE2AC864E0C2EE4D92CCCAEA56C1C98C30B9A4EE04,7B608CEC5F8816ADEEFFAA92418706F02F5604F57821B7C08677AFCEF383CAA8
8,14,RELEASE_SLOT0_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.710,1.320,33,PASS,E3F42C5810DB125639B8C795E1FAFE76D5328CF4F8D4FF1963351F5F501F094D,0927E35A670FDA05E9F92A6F9CE70F03B368FB8B1CF75BB75B99E6D60670D9A0
9,15,RELEASE_SLOT1_NORMAL_STATE_TRANSITION,56,3,6.000,5.203,0.829,29,PASS,2882F38E8F5EE902D2801B91580F2C5C122B21B15EFA9C93FD2E3EA48FCBEA26,5F6EABCC85467F66426C31CDC1741E340C910F9EBBEE6C7CFA241FC005BBC0FA
10,15,RELEASE_SLOT1_MISMATCH_CONTAINMENT,56,4,6.000,5.654,0.376,29,PASS,278DF9063E1B88256831E671B8D6308612D363CA256299F5DD93FB8DE4ECB3E8,2B4D6DD69BB4E9F1CF7EEFF357C765149CAB89BB682EEC019A8EC7DBBF5262D7
11,15,RELEASE_SLOT1_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.277,1.755,29,PASS,B335D40E5D964E01666BB5C21C9E29334BCA5A4416F04BE1143A8959546CC315,1A3D1370F97752C68386CE7A3567DF983A8B03CA94B8049C8DDA44C5275A4DB6
12,16,RELEASE_SLOT2_NORMAL_STATE_TRANSITION,56,3,6.000,5.450,0.622,29,PASS,D8BA3AE8E490652A9C3C049017C3A2F7B927EC49240A7E05A0F10469EEFA4B0E,1C80D4B5F79AA087B12DD96DE9A1C5FD61510CC56ACBD6383E16F3889849BE04
13,16,RELEASE_SLOT2_MISMATCH_CONTAINMENT,56,4,6.000,5.461,0.569,27,PASS,785CF6352D4B1933C68E2CA802A2B435BBF9CB78F7FB88094E1E12515736A3AF,C738C63A76AA82DBA468FD98144963B7A429D93FF2E49FF16BF8144F6F072527
14,16,RELEASE_SLOT2_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.267,1.763,29,PASS,2BF2F516FA845E3D69B26FBF4715E17990A26880CA4AF10D183A4FB57CD6857B,D8EB5975E2E81E51B6EAE0DD89B6158FBB0B7699165D420BF2500CC847FE876E
15,17,RELEASE_SLOT3_NORMAL_STATE_TRANSITION,56,3,6.000,5.792,0.238,29,PASS,090FD7F7C160B50CC0B94B6808563DA6B995E92FAA65FB708CEF19F80ECB7388,7138853A997254595B85CD664E5178CEAFAE899C41EF1F033805C95729D149BD
16,17,RELEASE_SLOT3_MISMATCH_CONTAINMENT,56,4,6.000,5.368,0.662,29,PASS,DFE143B4FFBE45CED7050F37F76AB0AED8A750F3F9C1126C10223BF22063FBC5,757A4119D3F9DAA8BF6F22DBA3E3C647C2342D1250AFFC783F3A21EEC6EDC903
17,17,RELEASE_SLOT3_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.371,1.659,29,PASS,BFF1EBAF3F07463FF22905C15FA8614D86FE70F2130337440698FFFAA6486989,4F7ADEA75561E56E14EE5287CE9ED13767279D85C0D0DF5EA6E9AE07832D3C95
