INDEX,STARTPOINT_PIN,ENDPOINT_PIN,STARTPOINT_CLOCK,ENDPOINT_CLOCK,DATAPATH_DELAY_NS,REQUIREMENT_NS,SLACK_NS,LOGIC_LEVELS,EXCEPTION,PATH_TYPE
"32","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.424","6.000","0.606","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"33","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.424","6.000","0.606","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"34","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.424","6.000","0.606","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"35","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.424","6.000","0.606","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"36","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][0]/D","userclk1","nvp_vclk1","5.395","6.000","0.677","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"37","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][0]/D","userclk1","nvp_vclk1","5.395","6.000","0.677","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"38","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][0]/D","userclk1","nvp_vclk1","5.395","6.000","0.677","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"39","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][0]/D","userclk1","nvp_vclk1","5.395","6.000","0.677","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"40","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][0]/D","userclk1","nvp_vclk1","5.395","6.000","0.677","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"41","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][0]/D","userclk1","nvp_vclk1","5.395","6.000","0.677","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"42","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][0]/D","userclk1","nvp_vclk1","5.395","6.000","0.677","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"43","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][2]/D","userclk1","nvp_vclk1","5.129","6.000","0.943","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"44","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][2]/D","userclk1","nvp_vclk1","5.129","6.000","0.943","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"45","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][2]/D","userclk1","nvp_vclk1","5.129","6.000","0.943","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"46","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][2]/D","userclk1","nvp_vclk1","5.129","6.000","0.943","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"47","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][2]/D","userclk1","nvp_vclk1","5.129","6.000","0.943","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"48","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][2]/D","userclk1","nvp_vclk1","5.129","6.000","0.943","8","MaxDelay Path 6.000ns -datapath_only","N/A"
"49","G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C","G2B_ONECH_C2H/slot_state_source_reg[0][2]/D","userclk1","nvp_vclk1","5.129","6.000","0.943","8","MaxDelay Path 6.000ns -datapath_only","N/A"
