ROLE,FAMILY,OBJECT_NAME,CLOCKS,SEMANTIC_SCOPE
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][0]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][1]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][2]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][3]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][4]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][5]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][6]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][7]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][8]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][9]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][10]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][11]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][12]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][13]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][14]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][15]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][16]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][17]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][18]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][19]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][20]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][21]","userclk1",YES
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][22]","userclk1",YES
