Timestamp,Phase,Node,BDF,Offset,Value
1788719453662633936,T2,/dev/xdma0_user,0000:01:00.0,0x0,0xa40a0c07
1788719453662660385,T2,/dev/xdma0_user,0000:01:00.0,0x4,0x400b
1788719453662666496,T2,/dev/xdma0_user,0000:01:00.0,0x8,0x31002
1788719453662671526,T2,/dev/xdma0_user,0000:01:00.0,0xc,0x10000
1788719453662675974,T2,/dev/xdma0_user,0000:01:00.0,0x10,0x224d194e
1788719453662680562,T2,/dev/xdma0_user,0000:01:00.0,0x14,0x5f82c85b
1788719453662685121,T2,/dev/xdma0_user,0000:01:00.0,0x18,0xcb292975
1788719453662689549,T2,/dev/xdma0_user,0000:01:00.0,0x1c,0x61c5d5e7
1788719453662693967,T2,/dev/xdma0_user,0000:01:00.0,0x20,0x6d28063b
1788719453662698285,T2,/dev/xdma0_user,0000:01:00.0,0x24,0x7e90002
1788719453662702603,T2,/dev/xdma0_user,0000:01:00.0,0x28,0x601f49
1788719453662707152,T2,/dev/xdma0_user,0000:01:00.0,0x2c,0x103
1788719453662711509,T2,/dev/xdma0_user,0000:01:00.0,0x30,0x58444d41
1788719453662725415,T2,/dev/xdma0_user,0000:01:00.0,0x80,0xfca4d42c
1788719453662730394,T2,/dev/xdma0_user,0000:01:00.0,0x84,0x44b39019
1788719453662735083,T2,/dev/xdma0_user,0000:01:00.0,0x88,0x0
1788719453662739792,T2,/dev/xdma0_user,0000:01:00.0,0x8c,0xf9
1788719453662754960,T2,/dev/xdma0_user,0000:01:00.0,0x90,0x0
1788719453662759388,T2,/dev/xdma0_user,0000:01:00.0,0x94,0x0
1788719453662763826,T2,/dev/xdma0_user,0000:01:00.0,0x98,0xd608f9
1788719453662768395,T2,/dev/xdma0_user,0000:01:00.0,0x9c,0x0
1788719453662772803,T2,/dev/xdma0_user,0000:01:00.0,0xa0,0xd6f908
1788719453662777311,T2,/dev/xdma0_user,0000:01:00.0,0xa4,0xff0001fa
1788719453662781729,T2,/dev/xdma0_user,0000:01:00.0,0xa8,0x0
1788719453662786348,T2,/dev/xdma0_user,0000:01:00.0,0xac,0x0
1788719453662790726,T2,/dev/xdma0_user,0000:01:00.0,0xb0,0x0
1788719453662795104,T2,/dev/xdma0_user,0000:01:00.0,0xb4,0x0
1788719456663195355,T2,/dev/xdma0_user,0000:01:00.0,0x80,0x1733b199
1788719456663263181,T2,/dev/xdma0_user,0000:01:00.0,0x84,0x44b4d9bf
1788719456663271827,T2,/dev/xdma0_user,0000:01:00.0,0x88,0x0
1788719456663305499,T2,/dev/xdma0_user,0000:01:00.0,0x3800,0x43324831
1788719456663313975,T2,/dev/xdma0_user,0000:01:00.0,0x3804,0x10000
1788719456663321288,T2,/dev/xdma0_user,0000:01:00.0,0x3808,0xb001f
1788719456663328151,T2,/dev/xdma0_user,0000:01:00.0,0x380c,0x0
1788719456663334813,T2,/dev/xdma0_user,0000:01:00.0,0x3810,0xc4
1788719456663341205,T2,/dev/xdma0_user,0000:01:00.0,0x3814,0x0
1788719456663348158,T2,/dev/xdma0_user,0000:01:00.0,0x3818,0x0
1788719456663354470,T2,/dev/xdma0_user,0000:01:00.0,0x381c,0x0
1788719456663360771,T2,/dev/xdma0_user,0000:01:00.0,0x3820,0x0
1788719456663366953,T2,/dev/xdma0_user,0000:01:00.0,0x3824,0x0
1788719456663373214,T2,/dev/xdma0_user,0000:01:00.0,0x3828,0x0
1788719456663379856,T2,/dev/xdma0_user,0000:01:00.0,0x382c,0x0
1788719456663386058,T2,/dev/xdma0_user,0000:01:00.0,0x3830,0x0
1788719456663392249,T2,/dev/xdma0_user,0000:01:00.0,0x3834,0xffffffff
1788719456663398691,T2,/dev/xdma0_user,0000:01:00.0,0x3838,0x0
1788719456663405003,T2,/dev/xdma0_user,0000:01:00.0,0x383c,0x0
1788719456663411154,T2,/dev/xdma0_user,0000:01:00.0,0x3840,0x0
1788719456663417596,T2,/dev/xdma0_user,0000:01:00.0,0x3844,0x0
1788719456663423738,T2,/dev/xdma0_user,0000:01:00.0,0x3848,0x0
1788719456663429849,T2,/dev/xdma0_user,0000:01:00.0,0x384c,0x0
1788719456663436100,T2,/dev/xdma0_user,0000:01:00.0,0x3850,0x0
1788719456663442322,T2,/dev/xdma0_user,0000:01:00.0,0x3854,0x0
1788719456663485602,T2,/dev/xdma0_user,0000:01:00.0,0x3858,0xffffffff
