Cell,ASYNC_REG
G2B_ONECH_C2H/fatal_sync1_source_reg,1
G2B_ONECH_C2H/fatal_sync2_source_reg,1
G2B_ONECH_C2H/source_ready_sync1_axi_reg,1
G2B_ONECH_C2H/source_ready_sync2_axi_reg,1
