Group,Slot,Family,Source_Count,Destination_Count
15,1,state,56,3
15,1,fault,56,4
15,1,reset,56,3
16,2,state,56,3
16,2,fault,56,4
16,2,reset,56,3
17,3,state,56,3
17,3,fault,56,4
17,3,reset,56,3
