Name,Period_ns,Frequency_MHz,Generated,Source_Pins
"pcie_refclk_100",10.000,100.0,"0","sys_clk_p"
"txoutclk_x0y0",10.000,100.0,"0","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].gt_wrapper_i/gtp_channel.gtpe2_channel_i/TXOUTCLK"
"mmcm_fb",10.000,100.0,"1","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKFBOUT"
"clk_125mhz_x0y0",8.000,125.0,"1","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKOUT0"
"clk_250mhz_x0y0",4.000,250.0,"1","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKOUT1"
"userclk1",16.000,62.5,"1","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKOUT2"
"clk_125mhz_mux_x0y0",8.000,125.0,"1","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_i1_bufgctrl.pclk_i1/O"
"clk_250mhz_mux_x0y0",4.000,250.0,"1","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_i1_bufgctrl.pclk_i1/O"
"nvp_vclk1",6.734,148.5001485001485,"0","vclk1"
"idelay_mmcm_feedback_unbuf",6.734,148.5001485001485,"1","NVP_PHYSICAL_FRONTEND/u_idelay_refclk_mmcm/CLKFBOUT"
"idelay_refclk_unbuf",5.050,198.01980198019803,"1","NVP_PHYSICAL_FRONTEND/u_idelay_refclk_mmcm/CLKOUT0"
