Name,Severity,Description
"PDCN-1569#1","WARNING","Used physical LUT pin 'A3' of cell XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/tgt_brdg_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/gntv_or_sync_fifo.gl0.rd/gr1.gr1_int.rfwft/gpregsm1.user_valid_i_1 (pin XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/tgt_brdg_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/gntv_or_sync_fifo.gl0.rd/gr1.gr1_int.rfwft/gpregsm1.user_valid_i_1/I1) is not included in the LUT equation: 'O6=(A1)+((~A1)*(~A2)*A5)'. If this cell is a user instantiated LUT in the design, please remove connectivity to the pin or change the equation and/or INIT string of the LUT to prevent this issue. If the cell is inferred or IP created LUT, please regenerate the IP and/or resynthesize the design to attempt to correct the issue."
"REQP-1839#1","WARNING","The RAMB36E1 CAPTURE_SUBSYSTEM/BAR_TARGET/GEN_V40B_SLOT[0].GEN_AVAILABLE.SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg has an input control pin CAPTURE_SUBSYSTEM/BAR_TARGET/GEN_V40B_SLOT[0].GEN_AVAILABLE.SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/ENARDEN (net: CAPTURE_SUBSYSTEM/BAR_TARGET/GEN_V40B_SLOT[0].GEN_AVAILABLE.SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_i_1_n_0) which is driven by a register (XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/user_reset_out_reg) that has an active asychronous set or reset. This may cause corruption of the memory contents and/or read values when the set/reset is asserted and is not analyzed by the default static timing analysis. It is suggested to eliminate the use of a set/reset to registers driving this RAMB pin or else use a synchronous reset in which the assertion of the reset is timed by default."
"REQP-1839#2","WARNING","The RAMB36E1 CAPTURE_SUBSYSTEM/BAR_TARGET/GEN_V40B_SLOT[0].GEN_AVAILABLE.SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg has an input control pin CAPTURE_SUBSYSTEM/BAR_TARGET/GEN_V40B_SLOT[0].GEN_AVAILABLE.SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/RSTRAMARSTRAM (net: CAPTURE_SUBSYSTEM/BAR_TARGET/GEN_V40B_SLOT[0].GEN_AVAILABLE.SLOT_RAM/xpm_memory_base_inst/lopt) which is driven by a register (XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/user_reset_out_reg) that has an active asychronous set or reset. This may cause corruption of the memory contents and/or read values when the set/reset is asserted and is not analyzed by the default static timing analysis. It is suggested to eliminate the use of a set/reset to registers driving this RAMB pin or else use a synchronous reset in which the assertion of the reset is timed by default."
"REQP-1839#3","WARNING","The RAMB36E1 CAPTURE_SUBSYSTEM/BAR_TARGET/GEN_V40B_SLOT[1].GEN_AVAILABLE.SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg has an input control pin CAPTURE_SUBSYSTEM/BAR_TARGET/GEN_V40B_SLOT[1].GEN_AVAILABLE.SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/ENARDEN (net: CAPTURE_SUBSYSTEM/BAR_TARGET/GEN_V40B_SLOT[1].GEN_AVAILABLE.SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_i_1_n_0) which is driven by a register (XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/user_reset_out_reg) that has an active asychronous set or reset. This may cause corruption of the memory contents and/or read values when the set/reset is asserted and is not analyzed by the default static timing analysis. It is suggested to eliminate the use of a set/reset to registers driving this RAMB pin or else use a synchronous reset in which the assertion of the reset is timed by default."
"REQP-1839#4","WARNING","The RAMB36E1 CAPTURE_SUBSYSTEM/BAR_TARGET/GEN_V40B_SLOT[1].GEN_AVAILABLE.SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg has an input control pin CAPTURE_SUBSYSTEM/BAR_TARGET/GEN_V40B_SLOT[1].GEN_AVAILABLE.SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/RSTRAMARSTRAM (net: CAPTURE_SUBSYSTEM/BAR_TARGET/GEN_V40B_SLOT[1].GEN_AVAILABLE.SLOT_RAM/xpm_memory_base_inst/lopt) which is driven by a register (XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/user_reset_out_reg) that has an active asychronous set or reset. This may cause corruption of the memory contents and/or read values when the set/reset is asserted and is not analyzed by the default static timing analysis. It is suggested to eliminate the use of a set/reset to registers driving this RAMB pin or else use a synchronous reset in which the assertion of the reset is timed by default."
"REQP-1839#5","WARNING","The RAMB36E1 G2B_ONECH_C2H/GEN_G2B_SLOT[0].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg has an input control pin G2B_ONECH_C2H/GEN_G2B_SLOT[0].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/ENARDEN (net: G2B_ONECH_C2H/GEN_G2B_SLOT[0].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_i_1_n_0) which is driven by a register (XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/user_reset_out_reg) that has an active asychronous set or reset. This may cause corruption of the memory contents and/or read values when the set/reset is asserted and is not analyzed by the default static timing analysis. It is suggested to eliminate the use of a set/reset to registers driving this RAMB pin or else use a synchronous reset in which the assertion of the reset is timed by default."
"REQP-1839#6","WARNING","The RAMB36E1 G2B_ONECH_C2H/GEN_G2B_SLOT[0].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg has an input control pin G2B_ONECH_C2H/GEN_G2B_SLOT[0].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/RSTRAMARSTRAM (net: G2B_ONECH_C2H/GEN_G2B_SLOT[0].SLOT_RAM/xpm_memory_base_inst/lopt) which is driven by a register (XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/user_reset_out_reg) that has an active asychronous set or reset. This may cause corruption of the memory contents and/or read values when the set/reset is asserted and is not analyzed by the default static timing analysis. It is suggested to eliminate the use of a set/reset to registers driving this RAMB pin or else use a synchronous reset in which the assertion of the reset is timed by default."
"REQP-1839#7","WARNING","The RAMB36E1 G2B_ONECH_C2H/GEN_G2B_SLOT[1].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg has an input control pin G2B_ONECH_C2H/GEN_G2B_SLOT[1].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/ENARDEN (net: G2B_ONECH_C2H/GEN_G2B_SLOT[1].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_i_1_n_0) which is driven by a register (XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/user_reset_out_reg) that has an active asychronous set or reset. This may cause corruption of the memory contents and/or read values when the set/reset is asserted and is not analyzed by the default static timing analysis. It is suggested to eliminate the use of a set/reset to registers driving this RAMB pin or else use a synchronous reset in which the assertion of the reset is timed by default."
"REQP-1839#8","WARNING","The RAMB36E1 G2B_ONECH_C2H/GEN_G2B_SLOT[1].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg has an input control pin G2B_ONECH_C2H/GEN_G2B_SLOT[1].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/RSTRAMARSTRAM (net: G2B_ONECH_C2H/GEN_G2B_SLOT[1].SLOT_RAM/xpm_memory_base_inst/lopt) which is driven by a register (XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/user_reset_out_reg) that has an active asychronous set or reset. This may cause corruption of the memory contents and/or read values when the set/reset is asserted and is not analyzed by the default static timing analysis. It is suggested to eliminate the use of a set/reset to registers driving this RAMB pin or else use a synchronous reset in which the assertion of the reset is timed by default."
"REQP-1839#9","WARNING","The RAMB36E1 G2B_ONECH_C2H/GEN_G2B_SLOT[2].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg has an input control pin G2B_ONECH_C2H/GEN_G2B_SLOT[2].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/ENARDEN (net: G2B_ONECH_C2H/GEN_G2B_SLOT[2].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_i_1_n_0) which is driven by a register (XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/user_reset_out_reg) that has an active asychronous set or reset. This may cause corruption of the memory contents and/or read values when the set/reset is asserted and is not analyzed by the default static timing analysis. It is suggested to eliminate the use of a set/reset to registers driving this RAMB pin or else use a synchronous reset in which the assertion of the reset is timed by default."
"REQP-1839#10","WARNING","The RAMB36E1 G2B_ONECH_C2H/GEN_G2B_SLOT[2].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg has an input control pin G2B_ONECH_C2H/GEN_G2B_SLOT[2].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/RSTRAMARSTRAM (net: G2B_ONECH_C2H/GEN_G2B_SLOT[2].SLOT_RAM/xpm_memory_base_inst/lopt) which is driven by a register (XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/user_reset_out_reg) that has an active asychronous set or reset. This may cause corruption of the memory contents and/or read values when the set/reset is asserted and is not analyzed by the default static timing analysis. It is suggested to eliminate the use of a set/reset to registers driving this RAMB pin or else use a synchronous reset in which the assertion of the reset is timed by default."
"REQP-1839#11","WARNING","The RAMB36E1 G2B_ONECH_C2H/GEN_G2B_SLOT[3].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg has an input control pin G2B_ONECH_C2H/GEN_G2B_SLOT[3].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/ENARDEN (net: G2B_ONECH_C2H/GEN_G2B_SLOT[3].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_i_1_n_0) which is driven by a register (XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/user_reset_out_reg) that has an active asychronous set or reset. This may cause corruption of the memory contents and/or read values when the set/reset is asserted and is not analyzed by the default static timing analysis. It is suggested to eliminate the use of a set/reset to registers driving this RAMB pin or else use a synchronous reset in which the assertion of the reset is timed by default."
"REQP-1839#12","WARNING","The RAMB36E1 G2B_ONECH_C2H/GEN_G2B_SLOT[3].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg has an input control pin G2B_ONECH_C2H/GEN_G2B_SLOT[3].SLOT_RAM/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/RSTRAMARSTRAM (net: G2B_ONECH_C2H/GEN_G2B_SLOT[3].SLOT_RAM/xpm_memory_base_inst/lopt) which is driven by a register (XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/user_reset_out_reg) that has an active asychronous set or reset. This may cause corruption of the memory contents and/or read values when the set/reset is asserted and is not analyzed by the default static timing analysis. It is suggested to eliminate the use of a set/reset to registers driving this RAMB pin or else use a synchronous reset in which the assertion of the reset is timed by default."
"RTSTAT-10#1","WARNING","23 net(s) have no routable loads. The problem bus(es) and/or net(s) are XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/dma_cpl_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/gntv_or_sync_fifo.gl0.rd/gr1.gr1_int.rfwft/aempty_fwft_i, XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/tgt_brdg_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/gntv_or_sync_fifo.gl0.rd/gr1.gr1_int.rfwft/aempty_fwft_i, XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/tgt_brdg_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/rstblk/ngwrdrst.grst.rd_rst_reg[2:0], XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/dma_cpl_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/rstblk/ngwrdrst.grst.rd_rst_reg[2:0], XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/dma_cpl_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/rstblk/ngwrdrst.grst.wr_rst_reg[2:0], XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/tgt_brdg_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/rstblk/ngwrdrst.grst.wr_rst_reg[2:0], XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/dma_cpl_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/gntv_or_sync_fifo.gl0.wr/gwss.wsts/ram_afull_fb, XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/tgt_brdg_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/gntv_or_sync_fifo.gl0.wr/gwss.wsts/ram_afull_fb, XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/tgt_brdg_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/gntv_or_sync_fifo.gl0.wr/gwss.wsts/ram_afull_i, XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/dma_cpl_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/gntv_or_sync_fifo.gl0.wr/gwss.wsts/ram_afull_i, XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/dma_cpl_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/gntv_or_sync_fifo.gl0.rd/grss.rsts/ram_empty_i, XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/tgt_brdg_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/gntv_or_sync_fifo.gl0.rd/grss.rsts/ram_empty_i, XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/store_ltssm XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/xdma_v41_m1_axi_stream_intf_i/xdma_v41_m1_rx_demux_i/dma_cpl_fifo_inst/U0/inst_fifo_gen/gaxis_fifo.gaxisf.axisf/grf.rf/gntv_or_sync_fifo.gl0.rd/gr1.gr1_int.rfwft/user_valid."
