Property                                  Type    Read-only  Value
LINK_CAP_L1_EXIT_LATENCY_GEN1             int     false      7
LINK_CAP_L1_EXIT_LATENCY_GEN2             int     false      7
LINK_CAP_LINK_BANDWIDTH_NOTIFICATION_CAP  string  false      FALSE
LINK_CAP_MAX_LINK_SPEED                   hex     false      4'h2
LINK_CAP_MAX_LINK_WIDTH                   hex     false      6'h01
LINK_CAP_RSVD_23                          int     false      0
LINK_CAP_SURPRISE_DOWN_ERROR_CAPABLE      string  false      FALSE
LINK_CONTROL_RCB                          int     false      0
LINK_CTRL2_DEEMPHASIS                     string  false      FALSE
LINK_CTRL2_HW_AUTONOMOUS_SPEED_DISABLE    string  false      FALSE
LINK_CTRL2_TARGET_LINK_SPEED              hex     false      4'h2
LINK_STATUS_SLOT_CLOCK_CONFIG             string  false      TRUE
LL_ACK_TIMEOUT                            hex     false      15'h0000
LL_ACK_TIMEOUT_EN                         string  false      FALSE
LL_ACK_TIMEOUT_FUNC                       int     false      0
LL_REPLAY_TIMEOUT                         hex     false      15'h0000
LL_REPLAY_TIMEOUT_EN                      string  false      FALSE
LL_REPLAY_TIMEOUT_FUNC                    int     false      1
LOC                                       site    false      PCIE_X0Y0
LTSSM_MAX_LINK_WIDTH                      hex     false      6'h01
MPS_FORCE                                 string  false      FALSE
MSIX_BASE_PTR                             hex     false      8'h9C
MSIX_CAP_ID                               hex     false      8'h11
MSIX_CAP_NEXTPTR                          hex     false      8'h00
MSIX_CAP_ON                               string  false      FALSE
MSIX_CAP_PBA_BIR                          int     false      0
MSIX_CAP_PBA_OFFSET                       hex     false      29'h00000000
MSIX_CAP_TABLE_BIR                        int     false      0
MSIX_CAP_TABLE_OFFSET                     hex     false      29'h00000000
MSIX_CAP_TABLE_SIZE                       hex     false      11'h000
MSI_BASE_PTR                              hex     false      8'h48
MSI_CAP_64_BIT_ADDR_CAPABLE               string  false      TRUE
MSI_CAP_ID                                hex     false      8'h05
MSI_CAP_MULTIMSGCAP                       int     false      0
MSI_CAP_MULTIMSG_EXTENSION                int     false      0
MSI_CAP_NEXTPTR                           hex     false      8'h60
MSI_CAP_ON                                string  false      TRUE
MSI_CAP_PER_VECTOR_MASKING_CAPABLE        string  false      FALSE
NAME                                      string  true       XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/pcie_top_i/pcie_7x_i/pcie_block_i
N_FTS_COMCLK_GEN1                         int     false      255
N_FTS_COMCLK_GEN2                         int     false      255
N_FTS_GEN1                                int     false      255
N_FTS_GEN2                                int     false      255
ORIG_REF_NAME                             string  true       PCIE_2_1
PARENT                                    cell    true       XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/pcie_top_i/pcie_7x_i
PCIE_BASE_PTR                             hex     false      8'h60
PCIE_CAP_CAPABILITY_ID                    hex     false      8'h10
PCIE_CAP_CAPABILITY_VERSION               hex     false      4'h2
PCIE_CAP_DEVICE_PORT_TYPE                 hex     false      4'h0
PCIE_CAP_NEXTPTR                          hex     false      8'h00
PCIE_CAP_ON                               string  false      TRUE
PCIE_CAP_RSVD_15_14                       int     false      0
PCIE_CAP_SLOT_IMPLEMENTED                 string  false      FALSE
PCIE_REVISION                             int     false      2
PL_AUTO_CONFIG                            int     false      0
PL_FAST_TRAIN                             string  false      FALSE
PM_ASPML0S_TIMEOUT                        hex     false      15'h0000
PM_ASPML0S_TIMEOUT_EN                     string  false      FALSE
PM_ASPML0S_TIMEOUT_FUNC                   int     false      0
PM_ASPM_FASTEXIT                          string  false      FALSE
PM_BASE_PTR                               hex     false      8'h40
PM_CAP_AUXCURRENT                         int     false      0
PM_CAP_D1SUPPORT                          string  false      FALSE
PM_CAP_D2SUPPORT                          string  false      FALSE
PM_CAP_DSI                                string  false      FALSE
