Timestamp,Label,Sample,Control,Status,Accepted,Consecutive,SpanMs
1788954990346215816,POST_DISABLE,1,0x00000000,0x000000C4,True,1,0.0
1788954990446387738,POST_DISABLE,2,0x00000000,0x000000C4,True,2,100.17
1788954990546507364,POST_DISABLE,3,0x00000000,0x000000C4,True,3,200.292
1788954990646587346,POST_DISABLE,4,0x00000000,0x000000C4,True,4,300.372
1788954990746687335,POST_DISABLE,5,0x00000000,0x000000C4,True,5,400.472
