phase_token,base_payload_sha256,remote_directory,adapted_payload_sha256,result
Bootstrap,21748CA9D698B2657862F8EB423DD00D9151A5FB501C18385B7F4B8470B3163D,/home/vcdeagent1/FPGA_AHD_HOST/v41_nvp_r1h_r4_61ec5f55/bootstrap_driver,BFAE646680D03D9DA4CDFCE3C40E9674F76E045AFA0609E5BE9EA1F41C253ECA,PASS
A1,21748CA9D698B2657862F8EB423DD00D9151A5FB501C18385B7F4B8470B3163D,/home/vcdeagent1/FPGA_AHD_HOST/v41_nvp_r1h_r4_61ec5f55/a1_driver,ED11FABA492BF5FFCB8E35FFAA68FA9B4495CFFA8512E8BCFF877DC808462253,PASS
B1,21748CA9D698B2657862F8EB423DD00D9151A5FB501C18385B7F4B8470B3163D,/home/vcdeagent1/FPGA_AHD_HOST/v41_nvp_r1h_r4_61ec5f55/b1_driver,0CB89D316FA239E35400D3ED010806C6B50C468D4C85167D5C9F68D2025F7061,PASS
A2,21748CA9D698B2657862F8EB423DD00D9151A5FB501C18385B7F4B8470B3163D,/home/vcdeagent1/FPGA_AHD_HOST/v41_nvp_r1h_r4_61ec5f55/a2_driver,9BDA0D1B0265D1C47EA5535D30644B8AA385D1B38BDB200192149377DEC88C47,PASS
B2,21748CA9D698B2657862F8EB423DD00D9151A5FB501C18385B7F4B8470B3163D,/home/vcdeagent1/FPGA_AHD_HOST/v41_nvp_r1h_r4_61ec5f55/b2_driver,F590E5F54A54A6AAEAD88315FC01A3F4C079CA17029C9BD7E5B8DA915A97CA04,PASS
A3,21748CA9D698B2657862F8EB423DD00D9151A5FB501C18385B7F4B8470B3163D,/home/vcdeagent1/FPGA_AHD_HOST/v41_nvp_r1h_r4_61ec5f55/a3_driver,9C874C2ECA64CF82308B5A8B1C4C86FA45FEA3B6FE68F41E2AC18B0CD7B43D6D,PASS
B3,21748CA9D698B2657862F8EB423DD00D9151A5FB501C18385B7F4B8470B3163D,/home/vcdeagent1/FPGA_AHD_HOST/v41_nvp_r1h_r4_61ec5f55/b3_driver,CD62EDB0130B650D79993E22E600B059FE668FF294874611A6A60BDBD4F17B21,PASS
