session_index,local_start_tick,local_end_tick,remote_utc,hostname,user,kernel,boot_id,uptime_seconds,helper_exit,result
1,2503685957479,2503698745619,2026-08-23T20:39:47.396840224Z,VCDE-DUT-1,vcdeagent1,7.0.0-29-generic,dd140158-f8dc-46eb-9a05-27bb532713aa,2715.62,0,PASS
2,2503725049933,2503729210772,2026-08-23T20:39:50.468532387Z,VCDE-DUT-1,vcdeagent1,7.0.0-29-generic,dd140158-f8dc-46eb-9a05-27bb532713aa,2718.69,0,PASS
3,2503751364742,2503755416005,2026-08-23T20:39:53.090751199Z,VCDE-DUT-1,vcdeagent1,7.0.0-29-generic,dd140158-f8dc-46eb-9a05-27bb532713aa,2721.31,0,PASS
