name,period,waveform,is_generated,master_clock,source_pins
"clk_125mhz","8.000","0.000 4.000","1","txoutclk_x0y0","pcie7_g0p8c0_support_i/pipe_clock_i/mmcm_i/CLKOUT0"
"clk_250mhz","4.000","0.000 2.000","1","txoutclk_x0y0","pcie7_g0p8c0_support_i/pipe_clock_i/mmcm_i/CLKOUT1"
"mmcm_fb","10.000","0.000 5.000","1","txoutclk_x0y0","pcie7_g0p8c0_support_i/pipe_clock_i/mmcm_i/CLKFBOUT"
"nvp_vclk1","6.734","0.000 3.367","0","","vclk1"
"sys_clk","10.000","0.000 5.000","0","","sys_clk_p"
"txoutclk_x0y0","10.000","0.000 5.000","0","","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].gt_wrapper_i/gtp_channel.gtpe2_channel_i/TXOUTCLK"
"userclk1","16.000","0.000 8.000","1","txoutclk_x0y0","pcie7_g0p8c0_support_i/pipe_clock_i/mmcm_i/CLKOUT2"
