scan_label,generation,entry_index,bank,register,group_index,position_in_group,raw_first_cause,decoded_first_cause,retry_result,transactions_since_verify,delta_ticks,delta_ns_floor,clock_hz
campaign-0005,6,40,0x05,0xF4,5,3,2,REGADDR_NACK,SUCCESS,3,308665,4938640,62500000
campaign-0008,9,63,0x07,0xF5,7,4,2,REGADDR_NACK,SUCCESS,4,411553,6584848,62500000
campaign-0011,12,73,0x08,0xF4,8,3,2,REGADDR_NACK,SUCCESS,3,308665,4938640,62500000
campaign-0013,14,28,0x01,0x98,4,1,2,REGADDR_NACK,SUCCESS,1,102889,1646224,62500000
campaign-0014,15,71,0x08,0xF2,8,1,2,REGADDR_NACK,SUCCESS,1,102889,1646224,62500000
campaign-0015,16,29,0x01,0x84,4,2,2,REGADDR_NACK,SUCCESS,2,205777,3292432,62500000
campaign-0015,16,49,0x06,0xF2,6,1,2,REGADDR_NACK,SUCCESS,1,102889,1646224,62500000
campaign-0016,17,41,0x05,0xF5,5,4,2,REGADDR_NACK,SUCCESS,4,411553,6584848,62500000
campaign-0017,18,38,0x05,0xF2,5,1,2,REGADDR_NACK,SUCCESS,1,102889,1646224,62500000
campaign-0022,23,19,0x00,0xEA,3,8,2,REGADDR_NACK,SUCCESS,8,823105,13169680,62500000
campaign-0023,24,49,0x06,0xF2,6,1,2,REGADDR_NACK,SUCCESS,1,102889,1646224,62500000
